character,codepoint,unicode_name,production_occurrences,loading_text_count,record_unique_indices,fixture_hits,JPN001C_present,JPN001C_glyph_index,JPN001C_rect,sample_contexts
现,U+73B0,CJK UNIFIED IDEOGRAPH-73B0,2,2,45;52,,NO,0,"(4,1)-(25,67)",我们的目标，是实现“完全的威慑力”。\n但要让“完全的威慑力”诞生，\n我们必须向全世界证明我们的力量。 || 与森林融为一体是观鸟者的基本功。\n鸟一旦察觉到人的气息，就会表现异常。\n那样就没法准确观察了。
理,U+7406,CJK UNIFIED IDEOGRAPH-7406,2,2,28;35,,YES,282,"(692,604)-(758,670)",我们抛弃了祖国。\n但我们还活着。\n也还在继续战斗。\n活下去的理由，要多少有多少。 || 你抛弃了国家、身份、过去、理想，抛弃了一切。\n但还有一样东西，你始终没有放下。
生,U+751F,CJK UNIFIED IDEOGRAPH-751F,3,3,41;45;48,,YES,283,"(762,604)-(828,670)",人到最后要守住的……不是生命，而是名声！ || 我们的目标，是实现“完全的威慑力”。\n但要让“完全的威慑力”诞生，\n我们必须向全世界证明我们的力量。 || 如果遇到没见过的生物，记得告诉我。
用,U+7528,CJK UNIFIED IDEOGRAPH-7528,1,1,38,,YES,284,"(832,604)-(898,670)",你难道想辗转于一个又一个冲突地区，\n每次都被战场利用吗？
由,U+7531,CJK UNIFIED IDEOGRAPH-7531,1,1,28,,YES,285,"(907,604)-(973,670)",我们抛弃了祖国。\n但我们还活着。\n也还在继续战斗。\n活下去的理由，要多少有多少。
界,U+754C,CJK UNIFIED IDEOGRAPH-754C,1,1,45,,YES,286,"(977,604)-(1043,670)",我们的目标，是实现“完全的威慑力”。\n但要让“完全的威慑力”诞生，\n我们必须向全世界证明我们的力量。
的,U+7684,CJK UNIFIED IDEOGRAPH-7684,34,19,21;22;23;24;28;30;32;36;39;41;42;43;45;48;50;51;52;55;56,PAZ;RAMON_GALVEZ_MENA,NO,0,"(4,1)-(25,67)",不要人为编造的虚构……\n我要知道The Boss的真相……确认她最后的意志。\n这也正是你想知道的，不是吗。 || 不要人为编造的虚构……\n我要知道The Boss的真相……确认她最后的意志。\n这也正是你想知道的，不是吗。 || 不要人为编造的虚构……\n我要知道The Boss的真相……确认她最后的意志。\n这也正是你想知道的，不是吗。
目,U+76EE,CJK UNIFIED IDEOGRAPH-76EE,1,1,45,,YES,290,"(1263,604)-(1329,670)",我们的目标，是实现“完全的威慑力”。\n但要让“完全的威慑力”诞生，\n我们必须向全世界证明我们的力量。
直,U+76F4,CJK UNIFIED IDEOGRAPH-76F4,1,1,24,,NO,0,"(4,1)-(25,67)",杀人换来的肮脏称号，你还一直挂在身上吗？
相,U+76F8,CJK UNIFIED IDEOGRAPH-76F8,3,3,20;21;34,,NO,0,"(4,1)-(25,67)",我只想知道一件事——“真相”。 || 不要人为编造的虚构……\n我要知道The Boss的真相……确认她最后的意志。\n这也正是你想知道的，不是吗。 || 即使知道真相，也无法改变过去。
真,U+771F,CJK UNIFIED IDEOGRAPH-771F,4,4,20;21;23;34,,YES,291,"(1332,604)-(1398,670)",我只想知道一件事——“真相”。 || 不要人为编造的虚构……\n我要知道The Boss的真相……确认她最后的意志。\n这也正是你想知道的，不是吗。 || 借任务的权力杀死真正的英雄。\n这就是你的“忠诚”吗？
着,U+7740,CJK UNIFIED IDEOGRAPH-7740,4,4,28;30;32;42,PAZ,NO,0,"(4,1)-(25,67)",我们抛弃了祖国。\n但我们还活着。\n也还在继续战斗。\n活下去的理由，要多少有多少。 || 我是和平的使者。\n我会守望着你。 || 我的名字是“Paz”。\n我会守护和平到底。\n我就是为此而活着的。
知,U+77E5,CJK UNIFIED IDEOGRAPH-77E5,8,6,20;21;25;34;40;46,,YES,292,"(1401,604)-(1467,670)",我只想知道一件事——“真相”。 || 不要人为编造的虚构……\n我要知道The Boss的真相……确认她最后的意志。\n这也正是你想知道的，不是吗。 || 不要人为编造的虚构……\n我要知道The Boss的真相……确认她最后的意志。\n这也正是你想知道的，不是吗。
研,U+7814,CJK UNIFIED IDEOGRAPH-7814,1,1,53,,YES,293,"(1468,604)-(1534,670)",我在想，要不要别研究鸟了，自己飞上天空。
确,U+786E,CJK UNIFIED IDEOGRAPH-786E,3,3,21;52;54,,NO,0,"(4,1)-(25,67)",不要人为编造的虚构……\n我要知道The Boss的真相……确认她最后的意志。\n这也正是你想知道的，不是吗。 || 与森林融为一体是观鸟者的基本功。\n鸟一旦察觉到人的气息，就会表现异常。\n那样就没法准确观察了。 || 我确实想在革命成功后把国家变得和平。\n但要带来和平，首先得清除卖国贼。
祖,U+7956,CJK UNIFIED IDEOGRAPH-7956,1,1,28,,YES,296,"(1673,604)-(1739,670)",我们抛弃了祖国。\n但我们还活着。\n也还在继续战斗。\n活下去的理由，要多少有多少。
种,U+79CD,CJK UNIFIED IDEOGRAPH-79CD,1,1,36,,NO,0,"(4,1)-(25,67)",一个人不可能独自背负人类这个物种的终结。\n正因如此，胆怯的人类才在这数千年间存活下来。
称,U+79F0,CJK UNIFIED IDEOGRAPH-79F0,1,1,24,,NO,0,"(4,1)-(25,67)",杀人换来的肮脏称号，你还一直挂在身上吗？
究,U+7A76,CJK UNIFIED IDEOGRAPH-7A76,1,1,53,,YES,300,"(1946,604)-(2012,670)",我在想，要不要别研究鸟了，自己飞上天空。
空,U+7A7A,CJK UNIFIED IDEOGRAPH-7A7A,2,2,46;53,,YES,301,"(3,671)-(69,737)",敌人什么时候来都不知道，哪还有空慢悠悠地吃饭！ || 我在想，要不要别研究鸟了，自己飞上天空。
突,U+7A81,CJK UNIFIED IDEOGRAPH-7A81,1,1,38,,NO,0,"(4,1)-(25,67)",你难道想辗转于一个又一个冲突地区，\n每次都被战场利用吗？
答,U+7B54,CJK UNIFIED IDEOGRAPH-7B54,1,1,22,,YES,302,"(72,671)-(138,737)",在从我爱过的女人那里听到答案之前，我还不能死……\n和你一样，是具行尸走肉。
算,U+7B97,CJK UNIFIED IDEOGRAPH-7B97,1,1,55,,NO,0,"(4,1)-(25,67)",我们的同志还不能算多。但我们一定会赢。\n胜利或死亡。这就是革命者的宿命。
管,U+7BA1,CJK UNIFIED IDEOGRAPH-7BA1,1,1,27,,NO,0,"(4,1)-(25,67)",不管是不是革命，只要拿起枪诉诸暴力，\n迟早所有人都会下地狱。
类,U+7C7B,CJK UNIFIED IDEOGRAPH-7C7B,3,2,36;43,,NO,0,"(4,1)-(25,67)",一个人不可能独自背负人类这个物种的终结。\n正因如此，胆怯的人类才在这数千年间存活下来。 || 一个人不可能独自背负人类这个物种的终结。\n正因如此，胆怯的人类才在这数千年间存活下来。 || 机器不会犯错。\n犯错的永远是人类。
系,U+7CFB,CJK UNIFIED IDEOGRAPH-7CFB,1,1,42,,NO,0,"(4,1)-(25,67)",随着在思想上身败名裂的The Boss，英雄的时代已经结束。\n今后，“没有感情的系统”将成为英雄。
终,U+7EC8,CJK UNIFIED IDEOGRAPH-7EC8,2,2,35;36,,NO,0,"(4,1)-(25,67)",你抛弃了国家、身份、过去、理想，抛弃了一切。\n但还有一样东西，你始终没有放下。 || 一个人不可能独自背负人类这个物种的终结。\n正因如此，胆怯的人类才在这数千年间存活下来。
经,U+7ECF,CJK UNIFIED IDEOGRAPH-7ECF,1,1,42,,NO,0,"(4,1)-(25,67)",随着在思想上身败名裂的The Boss，英雄的时代已经结束。\n今后，“没有感情的系统”将成为英雄。
结,U+7ED3,CJK UNIFIED IDEOGRAPH-7ED3,2,2,36;42,,NO,0,"(4,1)-(25,67)",一个人不可能独自背负人类这个物种的终结。\n正因如此，胆怯的人类才在这数千年间存活下来。 || 随着在思想上身败名裂的The Boss，英雄的时代已经结束。\n今后，“没有感情的系统”将成为英雄。
给,U+7ED9,CJK UNIFIED IDEOGRAPH-7ED9,1,1,51,,NO,0,"(4,1)-(25,67)",拿鸟的名字给兵器命名，你不觉得这是对鸟的侮辱吗？
统,U+7EDF,CJK UNIFIED IDEOGRAPH-7EDF,1,1,42,,NO,0,"(4,1)-(25,67)",随着在思想上身败名裂的The Boss，英雄的时代已经结束。\n今后，“没有感情的系统”将成为英雄。
继,U+7EE7,CJK UNIFIED IDEOGRAPH-7EE7,1,1,28,,NO,0,"(4,1)-(25,67)",我们抛弃了祖国。\n但我们还活着。\n也还在继续战斗。\n活下去的理由，要多少有多少。
续,U+7EED,CJK UNIFIED IDEOGRAPH-7EED,2,2,28;31,,NO,0,"(4,1)-(25,67)",我们抛弃了祖国。\n但我们还活着。\n也还在继续战斗。\n活下去的理由，要多少有多少。 || 光是叹息，和平不会到来，也不会延续。\n必须自己向它走去。
编,U+7F16,CJK UNIFIED IDEOGRAPH-7F16,1,1,21,,NO,0,"(4,1)-(25,67)",不要人为编造的虚构……\n我要知道The Boss的真相……确认她最后的意志。\n这也正是你想知道的，不是吗。
美,U+7F8E,CJK UNIFIED IDEOGRAPH-7F8E,3,1,39,RAMON_GALVEZ_MENA,YES,309,"(555,671)-(621,737)",中美洲是连接北美大陆和南美大陆的脐带。\n我们想要这里。 || 中美洲是连接北美大陆和南美大陆的脐带。\n我们想要这里。 || 中美洲是连接北美大陆和南美大陆的脐带。\n我们想要这里。
群,U+7FA4,CJK UNIFIED IDEOGRAPH-7FA4,1,1,50,,NO,0,"(4,1)-(25,67)",这里的人到底怎么回事，怎么全是一群味觉野蛮人！
者,U+8005,CJK UNIFIED IDEOGRAPH-8005,3,3,30;52;55,,YES,311,"(692,671)-(758,737)",我是和平的使者。\n我会守望着你。 || 与森林融为一体是观鸟者的基本功。\n鸟一旦察觉到人的气息，就会表现异常。\n那样就没法准确观察了。 || 我们的同志还不能算多。但我们一定会赢。\n胜利或死亡。这就是革命者的宿命。
而,U+800C,CJK UNIFIED IDEOGRAPH-800C,2,2,32;41,PAZ,NO,0,"(4,1)-(25,67)",我的名字是“Paz”。\n我会守护和平到底。\n我就是为此而活着的。 || 人到最后要守住的……不是生命，而是名声！
肉,U+8089,CJK UNIFIED IDEOGRAPH-8089,1,1,22,,NO,0,"(4,1)-(25,67)",在从我爱过的女人那里听到答案之前，我还不能死……\n和你一样，是具行尸走肉。
肮,U+80AE,CJK UNIFIED IDEOGRAPH-80AE,1,1,24,,NO,0,"(4,1)-(25,67)",杀人换来的肮脏称号，你还一直挂在身上吗？
胆,U+80C6,CJK UNIFIED IDEOGRAPH-80C6,1,1,36,,NO,0,"(4,1)-(25,67)",一个人不可能独自背负人类这个物种的终结。\n正因如此，胆怯的人类才在这数千年间存活下来。
背,U+80CC,CJK UNIFIED IDEOGRAPH-80CC,1,1,36,,YES,314,"(898,671)-(964,737)",一个人不可能独自背负人类这个物种的终结。\n正因如此，胆怯的人类才在这数千年间存活下来。
胜,U+80DC,CJK UNIFIED IDEOGRAPH-80DC,2,2,29;55,SNAKE,NO,0,"(4,1)-(25,67)",听好了，对我们来说，没有胜利可言。 || 我们的同志还不能算多。但我们一定会赢。\n胜利或死亡。这就是革命者的宿命。
能,U+80FD,CJK UNIFIED IDEOGRAPH-80FD,4,4,22;36;44;55,,NO,0,"(4,1)-(25,67)",在从我爱过的女人那里听到答案之前，我还不能死……\n和你一样，是具行尸走肉。 || 一个人不可能独自背负人类这个物种的终结。\n正因如此，胆怯的人类才在这数千年间存活下来。 || ……博士，和平不会自己走来。\n我们只能彼此走向对方。
脏,U+810F,CJK UNIFIED IDEOGRAPH-810F,1,1,24,,NO,0,"(4,1)-(25,67)",杀人换来的肮脏称号，你还一直挂在身上吗？
脐,U+8110,CJK UNIFIED IDEOGRAPH-8110,1,1,39,RAMON_GALVEZ_MENA,NO,0,"(4,1)-(25,67)",中美洲是连接北美大陆和南美大陆的脐带。\n我们想要这里。
自,U+81EA,CJK UNIFIED IDEOGRAPH-81EA,4,4,31;36;44;53,,YES,317,"(1113,671)-(1179,737)",光是叹息，和平不会到来，也不会延续。\n必须自己向它走去。 || 一个人不可能独自背负人类这个物种的终结。\n正因如此，胆怯的人类才在这数千年间存活下来。 || ……博士，和平不会自己走来。\n我们只能彼此走向对方。
英,U+82F1,CJK UNIFIED IDEOGRAPH-82F1,3,2,23;42,,YES,318,"(1182,671)-(1248,737)",借任务的权力杀死真正的英雄。\n这就是你的“忠诚”吗？ || 随着在思想上身败名裂的The Boss，英雄的时代已经结束。\n今后，“没有感情的系统”将成为英雄。 || 随着在思想上身败名裂的The Boss，英雄的时代已经结束。\n今后，“没有感情的系统”将成为英雄。
虚,U+865A,CJK UNIFIED IDEOGRAPH-865A,1,1,21,,YES,319,"(1251,671)-(1317,737)",不要人为编造的虚构……\n我要知道The Boss的真相……确认她最后的意志。\n这也正是你想知道的，不是吗。
蛮,U+86EE,CJK UNIFIED IDEOGRAPH-86EE,1,1,50,,YES,320,"(1321,671)-(1387,737)",这里的人到底怎么回事，怎么全是一群味觉野蛮人！
融,U+878D,CJK UNIFIED IDEOGRAPH-878D,1,1,52,,NO,0,"(4,1)-(25,67)",与森林融为一体是观鸟者的基本功。\n鸟一旦察觉到人的气息，就会表现异常。\n那样就没法准确观察了。
行,U+884C,CJK UNIFIED IDEOGRAPH-884C,1,1,22,,NO,0,"(4,1)-(25,67)",在从我爱过的女人那里听到答案之前，我还不能死……\n和你一样，是具行尸走肉。
表,U+8868,CJK UNIFIED IDEOGRAPH-8868,1,1,52,,NO,0,"(4,1)-(25,67)",与森林融为一体是观鸟者的基本功。\n鸟一旦察觉到人的气息，就会表现异常。\n那样就没法准确观察了。
袖,U+8896,CJK UNIFIED IDEOGRAPH-8896,1,1,56,,NO,0,"(4,1)-(25,67)",难道……你就是伟大的领袖……\n请……带领我们……
被,U+88AB,CJK UNIFIED IDEOGRAPH-88AB,1,1,38,,NO,0,"(4,1)-(25,67)",你难道想辗转于一个又一个冲突地区，\n每次都被战场利用吗？
裂,U+88C2,CJK UNIFIED IDEOGRAPH-88C2,1,1,42,,NO,0,"(4,1)-(25,67)",随着在思想上身败名裂的The Boss，英雄的时代已经结束。\n今后，“没有感情的系统”将成为英雄。
西,U+897F,CJK UNIFIED IDEOGRAPH-897F,1,1,35,,NO,0,"(4,1)-(25,67)",你抛弃了国家、身份、过去、理想，抛弃了一切。\n但还有一样东西，你始终没有放下。
要,U+8981,CJK UNIFIED IDEOGRAPH-8981,12,10,21;26;27;28;37;39;41;45;53;54,KAZUHIRA_MILLER;RAMON_GALVEZ_MENA,YES,322,"(1460,671)-(1526,737)",不要人为编造的虚构……\n我要知道The Boss的真相……确认她最后的意志。\n这也正是你想知道的，不是吗。 || 不要人为编造的虚构……\n我要知道The Boss的真相……确认她最后的意志。\n这也正是你想知道的，不是吗。 || 不是为了国家，也不是为了政府。\n我们之所以战斗，是因为有人需要我们。
见,U+89C1,CJK UNIFIED IDEOGRAPH-89C1,1,1,48,,NO,0,"(4,1)-(25,67)",如果遇到没见过的生物，记得告诉我。
观,U+89C2,CJK UNIFIED IDEOGRAPH-89C2,2,1,52,,NO,0,"(4,1)-(25,67)",与森林融为一体是观鸟者的基本功。\n鸟一旦察觉到人的气息，就会表现异常。\n那样就没法准确观察了。 || 与森林融为一体是观鸟者的基本功。\n鸟一旦察觉到人的气息，就会表现异常。\n那样就没法准确观察了。
觉,U+89C9,CJK UNIFIED IDEOGRAPH-89C9,3,3,50;51;52,,NO,0,"(4,1)-(25,67)",这里的人到底怎么回事，怎么全是一群味觉野蛮人！ || 拿鸟的名字给兵器命名，你不觉得这是对鸟的侮辱吗？ || 与森林融为一体是观鸟者的基本功。\n鸟一旦察觉到人的气息，就会表现异常。\n那样就没法准确观察了。
言,U+8A00,CJK UNIFIED IDEOGRAPH-8A00,1,1,29,SNAKE,YES,326,"(1737,671)-(1803,737)",听好了，对我们来说，没有胜利可言。
认,U+8BA4,CJK UNIFIED IDEOGRAPH-8BA4,1,1,21,,NO,0,"(4,1)-(25,67)",不要人为编造的虚构……\n我要知道The Boss的真相……确认她最后的意志。\n这也正是你想知道的，不是吗。
让,U+8BA9,CJK UNIFIED IDEOGRAPH-8BA9,1,1,45,,NO,0,"(4,1)-(25,67)",我们的目标，是实现“完全的威慑力”。\n但要让“完全的威慑力”诞生，\n我们必须向全世界证明我们的力量。
记,U+8BB0,CJK UNIFIED IDEOGRAPH-8BB0,1,1,48,,NO,0,"(4,1)-(25,67)",如果遇到没见过的生物，记得告诉我。
证,U+8BC1,CJK UNIFIED IDEOGRAPH-8BC1,1,1,45,,NO,0,"(4,1)-(25,67)",我们的目标，是实现“完全的威慑力”。\n但要让“完全的威慑力”诞生，\n我们必须向全世界证明我们的力量。
诉,U+8BC9,CJK UNIFIED IDEOGRAPH-8BC9,2,2,27;48,,NO,0,"(4,1)-(25,67)",不管是不是革命，只要拿起枪诉诸暴力，\n迟早所有人都会下地狱。 || 如果遇到没见过的生物，记得告诉我。
诚,U+8BDA,CJK UNIFIED IDEOGRAPH-8BDA,1,1,23,,NO,0,"(4,1)-(25,67)",借任务的权力杀死真正的英雄。\n这就是你的“忠诚”吗？
诞,U+8BDE,CJK UNIFIED IDEOGRAPH-8BDE,1,1,45,,NO,0,"(4,1)-(25,67)",我们的目标，是实现“完全的威慑力”。\n但要让“完全的威慑力”诞生，\n我们必须向全世界证明我们的力量。
说,U+8BF4,CJK UNIFIED IDEOGRAPH-8BF4,1,1,29,SNAKE,NO,0,"(4,1)-(25,67)",听好了，对我们来说，没有胜利可言。
请,U+8BF7,CJK UNIFIED IDEOGRAPH-8BF7,1,1,56,,NO,0,"(4,1)-(25,67)",难道……你就是伟大的领袖……\n请……带领我们……
诸,U+8BF8,CJK UNIFIED IDEOGRAPH-8BF8,1,1,27,,NO,0,"(4,1)-(25,67)",不管是不是革命，只要拿起枪诉诸暴力，\n迟早所有人都会下地狱。
负,U+8D1F,CJK UNIFIED IDEOGRAPH-8D1F,1,1,36,,NO,0,"(4,1)-(25,67)",一个人不可能独自背负人类这个物种的终结。\n正因如此，胆怯的人类才在这数千年间存活下来。
败,U+8D25,CJK UNIFIED IDEOGRAPH-8D25,1,1,42,,NO,0,"(4,1)-(25,67)",随着在思想上身败名裂的The Boss，英雄的时代已经结束。\n今后，“没有感情的系统”将成为英雄。
贼,U+8D3C,CJK UNIFIED IDEOGRAPH-8D3C,1,1,54,,NO,0,"(4,1)-(25,67)",我确实想在革命成功后把国家变得和平。\n但要带来和平，首先得清除卖国贼。
赢,U+8D62,CJK UNIFIED IDEOGRAPH-8D62,1,1,55,,NO,0,"(4,1)-(25,67)",我们的同志还不能算多。但我们一定会赢。\n胜利或死亡。这就是革命者的宿命。
走,U+8D70,CJK UNIFIED IDEOGRAPH-8D70,4,3,22;31;44,,NO,0,"(4,1)-(25,67)",在从我爱过的女人那里听到答案之前，我还不能死……\n和你一样，是具行尸走肉。 || 光是叹息，和平不会到来，也不会延续。\n必须自己向它走去。 || ……博士，和平不会自己走来。\n我们只能彼此走向对方。
起,U+8D77,CJK UNIFIED IDEOGRAPH-8D77,1,1,27,,NO,0,"(4,1)-(25,67)",不管是不是革命，只要拿起枪诉诸暴力，\n迟早所有人都会下地狱。
身,U+8EAB,CJK UNIFIED IDEOGRAPH-8EAB,3,3,24;35;42,,YES,333,"(212,738)-(278,804)",杀人换来的肮脏称号，你还一直挂在身上吗？ || 你抛弃了国家、身份、过去、理想，抛弃了一切。\n但还有一样东西，你始终没有放下。 || 随着在思想上身败名裂的The Boss，英雄的时代已经结束。\n今后，“没有感情的系统”将成为英雄。
转,U+8F6C,CJK UNIFIED IDEOGRAPH-8F6C,1,1,38,,NO,0,"(4,1)-(25,67)",你难道想辗转于一个又一个冲突地区，\n每次都被战场利用吗？
辗,U+8F97,CJK UNIFIED IDEOGRAPH-8F97,1,1,38,,NO,0,"(4,1)-(25,67)",你难道想辗转于一个又一个冲突地区，\n每次都被战场利用吗？
辱,U+8FB1,CJK UNIFIED IDEOGRAPH-8FB1,1,1,51,,NO,0,"(4,1)-(25,67)",拿鸟的名字给兵器命名，你不觉得这是对鸟的侮辱吗？
过,U+8FC7,CJK UNIFIED IDEOGRAPH-8FC7,5,5,22;25;34;35;48,,NO,0,"(4,1)-(25,67)",在从我爱过的女人那里听到答案之前，我还不能死……\n和你一样，是具行尸走肉。 || 我知道。\n十年前你做过什么，我也知道。\n来吧，也照样杀了我。\n就像杀The Boss那样。 || 即使知道真相，也无法改变过去。
还,U+8FD8,CJK UNIFIED IDEOGRAPH-8FD8,7,6,22;24;28;35;46;55,,NO,0,"(4,1)-(25,67)",在从我爱过的女人那里听到答案之前，我还不能死……\n和你一样，是具行尸走肉。 || 杀人换来的肮脏称号，你还一直挂在身上吗？ || 我们抛弃了祖国。\n但我们还活着。\n也还在继续战斗。\n活下去的理由，要多少有多少。
这,U+8FD9,CJK UNIFIED IDEOGRAPH-8FD9,8,7,21;23;36;39;50;51;55,RAMON_GALVEZ_MENA,NO,0,"(4,1)-(25,67)",不要人为编造的虚构……\n我要知道The Boss的真相……确认她最后的意志。\n这也正是你想知道的，不是吗。 || 借任务的权力杀死真正的英雄。\n这就是你的“忠诚”吗？ || 一个人不可能独自背负人类这个物种的终结。\n正因如此，胆怯的人类才在这数千年间存活下来。
远,U+8FDC,CJK UNIFIED IDEOGRAPH-8FDC,1,1,43,,NO,0,"(4,1)-(25,67)",机器不会犯错。\n犯错的永远是人类。
连,U+8FDE,CJK UNIFIED IDEOGRAPH-8FDE,1,1,39,RAMON_GALVEZ_MENA,NO,0,"(4,1)-(25,67)",中美洲是连接北美大陆和南美大陆的脐带。\n我们想要这里。
迟,U+8FDF,CJK UNIFIED IDEOGRAPH-8FDF,1,1,27,,NO,0,"(4,1)-(25,67)",不管是不是革命，只要拿起枪诉诸暴力，\n迟早所有人都会下地狱。
造,U+9020,CJK UNIFIED IDEOGRAPH-9020,1,1,21,,NO,0,"(4,1)-(25,67)",不要人为编造的虚构……\n我要知道The Boss的真相……确认她最后的意志。\n这也正是你想知道的，不是吗。
遇,U+9047,CJK UNIFIED IDEOGRAPH-9047,1,1,48,,NO,0,"(4,1)-(25,67)",如果遇到没见过的生物，记得告诉我。
道,U+9053,CJK UNIFIED IDEOGRAPH-9053,10,8,20;21;25;34;38;40;46;56,,NO,0,"(4,1)-(25,67)",我只想知道一件事——“真相”。 || 不要人为编造的虚构……\n我要知道The Boss的真相……确认她最后的意志。\n这也正是你想知道的，不是吗。 || 不要人为编造的虚构……\n我要知道The Boss的真相……确认她最后的意志。\n这也正是你想知道的，不是吗。
那,U+90A3,CJK UNIFIED IDEOGRAPH-90A3,3,3,22;25;52,,NO,0,"(4,1)-(25,67)",在从我爱过的女人那里听到答案之前，我还不能死……\n和你一样，是具行尸走肉。 || 我知道。\n十年前你做过什么，我也知道。\n来吧，也照样杀了我。\n就像杀The Boss那样。 || 与森林融为一体是观鸟者的基本功。\n鸟一旦察觉到人的气息，就会表现异常。\n那样就没法准确观察了。
都,U+90FD,CJK UNIFIED IDEOGRAPH-90FD,5,4,27;38;46;49,,YES,340,"(691,738)-(757,804)",不管是不是革命，只要拿起枪诉诸暴力，\n迟早所有人都会下地狱。 || 你难道想辗转于一个又一个冲突地区，\n每次都被战场利用吗？ || 敌人什么时候来都不知道，哪还有空慢悠悠地吃饭！
里,U+91CC,CJK UNIFIED IDEOGRAPH-91CC,3,3,22;39;50,RAMON_GALVEZ_MENA,NO,0,"(4,1)-(25,67)",在从我爱过的女人那里听到答案之前，我还不能死……\n和你一样，是具行尸走肉。 || 中美洲是连接北美大陆和南美大陆的脐带。\n我们想要这里。 || 这里的人到底怎么回事，怎么全是一群味觉野蛮人！
野,U+91CE,CJK UNIFIED IDEOGRAPH-91CE,1,1,50,,YES,342,"(828,738)-(894,804)",这里的人到底怎么回事，怎么全是一群味觉野蛮人！
量,U+91CF,CJK UNIFIED IDEOGRAPH-91CF,1,1,45,,NO,0,"(4,1)-(25,67)",我们的目标，是实现“完全的威慑力”。\n但要让“完全的威慑力”诞生，\n我们必须向全世界证明我们的力量。
错,U+9519,CJK UNIFIED IDEOGRAPH-9519,2,1,43,,NO,0,"(4,1)-(25,67)",机器不会犯错。\n犯错的永远是人类。 || 机器不会犯错。\n犯错的永远是人类。
间,U+95F4,CJK UNIFIED IDEOGRAPH-95F4,1,1,36,,NO,0,"(4,1)-(25,67)",一个人不可能独自背负人类这个物种的终结。\n正因如此，胆怯的人类才在这数千年间存活下来。
陆,U+9646,CJK UNIFIED IDEOGRAPH-9646,2,1,39,RAMON_GALVEZ_MENA,NO,0,"(4,1)-(25,67)",中美洲是连接北美大陆和南美大陆的脐带。\n我们想要这里。 || 中美洲是连接北美大陆和南美大陆的脐带。\n我们想要这里。
除,U+9664,CJK UNIFIED IDEOGRAPH-9664,1,1,54,,YES,347,"(1179,738)-(1245,804)",我确实想在革命成功后把国家变得和平。\n但要带来和平，首先得清除卖国贼。
随,U+968F,CJK UNIFIED IDEOGRAPH-968F,1,1,42,,NO,0,"(4,1)-(25,67)",随着在思想上身败名裂的The Boss，英雄的时代已经结束。\n今后，“没有感情的系统”将成为英雄。
难,U+96BE,CJK UNIFIED IDEOGRAPH-96BE,2,2,38;56,,NO,0,"(4,1)-(25,67)",你难道想辗转于一个又一个冲突地区，\n每次都被战场利用吗？ || 难道……你就是伟大的领袖……\n请……带领我们……
雄,U+96C4,CJK UNIFIED IDEOGRAPH-96C4,3,2,23;42,,YES,349,"(1317,738)-(1383,804)",借任务的权力杀死真正的英雄。\n这就是你的“忠诚”吗？ || 随着在思想上身败名裂的The Boss，英雄的时代已经结束。\n今后，“没有感情的系统”将成为英雄。 || 随着在思想上身败名裂的The Boss，英雄的时代已经结束。\n今后，“没有感情的系统”将成为英雄。
需,U+9700,CJK UNIFIED IDEOGRAPH-9700,1,1,26,,NO,0,"(4,1)-(25,67)",不是为了国家，也不是为了政府。\n我们之所以战斗，是因为有人需要我们。
革,U+9769,CJK UNIFIED IDEOGRAPH-9769,3,3,27;54;55,,YES,350,"(1386,738)-(1452,804)",不管是不是革命，只要拿起枪诉诸暴力，\n迟早所有人都会下地狱。 || 我确实想在革命成功后把国家变得和平。\n但要带来和平，首先得清除卖国贼。 || 我们的同志还不能算多。但我们一定会赢。\n胜利或死亡。这就是革命者的宿命。
须,U+987B,CJK UNIFIED IDEOGRAPH-987B,2,2,31;45,,NO,0,"(4,1)-(25,67)",光是叹息，和平不会到来，也不会延续。\n必须自己向它走去。 || 我们的目标，是实现“完全的威慑力”。\n但要让“完全的威慑力”诞生，\n我们必须向全世界证明我们的力量。
领,U+9886,CJK UNIFIED IDEOGRAPH-9886,2,1,56,,NO,0,"(4,1)-(25,67)",难道……你就是伟大的领袖……\n请……带领我们…… || 难道……你就是伟大的领袖……\n请……带领我们……
飞,U+98DE,CJK UNIFIED IDEOGRAPH-98DE,1,1,53,,NO,0,"(4,1)-(25,67)",我在想，要不要别研究鸟了，自己飞上天空。
饭,U+996D,CJK UNIFIED IDEOGRAPH-996D,1,1,46,,NO,0,"(4,1)-(25,67)",敌人什么时候来都不知道，哪还有空慢悠悠地吃饭！
首,U+9996,CJK UNIFIED IDEOGRAPH-9996,1,1,54,,NO,0,"(4,1)-(25,67)",我确实想在革命成功后把国家变得和平。\n但要带来和平，首先得清除卖国贼。
鸟,U+9E1F,CJK UNIFIED IDEOGRAPH-9E1F,5,3,51;52;53,,NO,0,"(4,1)-(25,67)",拿鸟的名字给兵器命名，你不觉得这是对鸟的侮辱吗？ || 拿鸟的名字给兵器命名，你不觉得这是对鸟的侮辱吗？ || 与森林融为一体是观鸟者的基本功。\n鸟一旦察觉到人的气息，就会表现异常。\n那样就没法准确观察了。
