character,codepoint,unicode_name,unicode_category,unicode_block,production_occurrences,resource_classes,sample_contexts,classification,JPN-0007,JPN-000E,JPN-001C,JPN-00C7,MLG-0007,MLG-000E
歼,U+6B7C,CJK UNIFIED IDEOGRAPH-6B7C,Lo,CJK Unified Ideographs,313,BRIEFING | LOOSE_OLANG | OHD | SLOT_OLANG | STAGEDAT_OLANG,OHD/1E4C1146#146: 歼灭敌人！ || LOOSE_OLANG/007E2F18#5450: ●歼灭任务 || STAGEDAT_OLANG/LANG_MISSION_INFO.OLANG#6707: 远程操纵METALGEARZEKE，将MotherBase的入侵者全部歼灭。 || STAGEDAT_OLANG/LANG_MISSION_INFO.OLANG#6909: 【EXTRAOPS：027】敌兵歼灭 || STAGEDAT_OLANG/LANG_MISSION_INFO.OLANG#6910: 【EXTRAOPS：027】敌兵歼灭,CN_ALREADY_COVERED,NO,NO,NO,NO,YES,YES
殃,U+6B83,CJK UNIFIED IDEOGRAPH-6B83,Lo,CJK Unified Ideographs,7,SLOT_OLANG | STAGEDAT_OLANG,STAGEDAT_OLANG/LANG_MYOUTER_STAFF_COMMENT.OLANG#19511: “眩晕手雷扔出去后得马上别过脸，不然自己的眼睛也会遭殃……说得太对了，Boss！” || SLOT_OLANG/5D3AF5CD#33497: 已经有很多人遭殃了 || SLOT_OLANG/5D3AF5CD#33576: 已经有很多人遭殃了 || SLOT_OLANG/5D4C49A2#36002: 投出眩晕手榴弹后必须立刻把脸转开，不然自己的眼睛也会遭殃……说得太对了，Boss！ || SLOT_OLANG/5D4C49A2#36358: 投出眩晕手榴弹后必须立刻把脸转开，不然自己的眼睛也会遭殃……说得太对了，Boss！,TRUE_NEW_GLYPH,NO,NO,NO,NO,NO,NO
殊,U+6B8A,CJK UNIFIED IDEOGRAPH-6B8A,Lo,CJK Unified Ideographs,257,BRIEFING | LOOSE_OLANG | SLOT_OLANG | STAGEDAT_OLANG,LOOSE_OLANG/007E2F18#5474: 特殊道具 || STAGEDAT_OLANG/LANG_ITEM_TEXT.OLANG#7824: 装备后可进入隐身状态的特殊迷彩。 || STAGEDAT_OLANG/LANG_ITEM_TEXT.OLANG#7956: 印有FOX标志的设计T恤。基本特性与野战服相同。穿上它，以传奇特殊部队成员的身份战斗吧！ || STAGEDAT_OLANG/LANG_ITEM_TEXT.OLANG#8010: 战斗任务用特殊服装，防御力高，主武器和弹药携带量大，但伪装率较低。适合希望兼顾战斗能力与单独潜入技巧的士兵。 || STAGEDAT_OLANG/LANG_ITEM_TEXT.OLANG#8011: 潜入任务用特殊服装，在各种环境中都能保持良好伪装率，移动时伪装率下降也较少。受伤后恢复较快，但主武器弹药携带量较少。适合忠于“不被发现地前进”这一基本原则的士兵。,CN_ALREADY_COVERED,NO,YES,NO,YES,YES,YES
残,U+6B8B,CJK UNIFIED IDEOGRAPH-6B8B,Lo,CJK Unified Ideographs,14,BRIEFING | LOOSE_OLANG | SLOT_OLANG | STAGEDAT_OLANG | YPK_GTT,YPK_GTT/1C7679A5#190: 就算是敌人……也太残忍了 || LOOSE_OLANG/007E2F18#5655: 双月刊女性时尚杂志。特辑内容满足女性士兵即使身处残酷战场也想保持美丽的需求。身着时尚服装的模特跨页写真，也受到男性读者的热烈支持。(PhotobyFamitsuWaveDVD) || STAGEDAT_OLANG/LANG_MISSION_INFO.OLANG#7272: 【EXTRAOPS：127】GearREX・G残灭作战 || STAGEDAT_OLANG/LANG_MISSION_INFO.OLANG#7273: 【EXTRAOPS：127】GearREX・G残灭作战 || STAGEDAT_OLANG/LANG_MISSION_INFO.OLANG#17811: 【EXTRAOPS：127】GearREX・G残灭作战,CN_ALREADY_COVERED,NO,NO,NO,YES,YES,YES
殖,U+6B96,CJK UNIFIED IDEOGRAPH-6B96,Lo,CJK Unified Ideographs,4,BRIEFING,BRIEFING/BRIEFING_FILES_BLOCK_046D90#4: 听说那些尸体被抽干了血，眼珠和生殖器也被挖了出来。 || BRIEFING/BRIEFING_FILES_BLOCK_05C0F0#4: 另外，两根长长的装饰羽只有繁殖期的雄鸟才有。鸟类大多都是雄性更漂亮。 || BRIEFING/BRIEFING_FILES_BLOCK_05DD90#8: 平时生活在低地热带雨林，不过到了繁殖期就会迁往高地云雾林。 || BRIEFING/BRIEFING_FILES_BLOCK_068550#22: 白血病、白内障、皮炎、癌症……生殖能力也会受到影响。,CN_ALREADY_COVERED,NO,NO,NO,YES,YES,YES
殴,U+6BB4,CJK UNIFIED IDEOGRAPH-6BB4,Lo,CJK Unified Ideographs,3,BRIEFING,BRIEFING/BRIEFING_FILES_BLOCK_085AF0#20: 光是这样互殴，两人身上就已经到处流血。 || BRIEFING/BRIEFING_FILES_BLOCK_085AF0#25: 之后，两人又继续互殴了一阵。 || BRIEFING/BRIEFING_FILES_BLOCK_085AF0#27: 没有杀意，也没有憎恨的互殴。我从未见过这样的暴力。,CN_ALREADY_COVERED,NO,NO,NO,YES,YES,YES
段,U+6BB5,CJK UNIFIED IDEOGRAPH-6BB5,Lo,CJK Unified Ideographs,269,BRIEFING | SLOT_OLANG | STAGEDAT_OLANG | YPK_GTT,"YPK_GTT/1C79F2AD#1: 这段语音通信来自海上平台上的MotherBase。 || STAGEDAT_OLANG/LANG_COMMUNICATIONSTELOP.OLANG#6006: （不要）通信不稳定消息002。为了测试滚动文字，试着放入一段非常非常长的文本——————————————。因为不知道究竟要多长才合适，所以又加了很多内容————————。 || STAGEDAT_OLANG/LANG_COMMUNICATIONSTELOP.OLANG#6246: （不要）通信不稳定消息002。为了测试滚动文字，试着放入一段非常非常长的文本——————————————。因为不知道究竟要多长才合适，所以又加了很多内容————————。 || STAGEDAT_OLANG/LANG_EMERGENCYTELOP.OLANG#6508: （不要）紧急消息测试002。为了测试滚动文字，试着放入一段非常非常长的文本——————————————。因为不知道究竟要多长才合适，所以又加了很多内容————————。 || STAGEDAT_OLANG/LANG_MISSION_INFO.OLANG#6911: 使尼加拉瓜美军导弹基地指定区域内的所有敌方佣兵失去行动能力。也可采用击晕、睡眠、HoldUp等非杀伤手段。时间限制：05'00""（被敌人发现进入警报状态时-00'30""）目标数：5",CN_ALREADY_COVERED,NO,NO,NO,YES,YES,YES
殿,U+6BBF,CJK UNIFIED IDEOGRAPH-6BBF,Lo,CJK Unified Ideographs,1,BRIEFING,BRIEFING/BRIEFING_FILES_BLOCK_02E160#8: 就算已经残破，那也是神殿。进去时别忘了保持敬意。,JPN_RECOVERABLE,NO,NO,NO,YES,NO,NO
毁,U+6BC1,CJK UNIFIED IDEOGRAPH-6BC1,Lo,CJK Unified Ideographs,743,BRIEFING | SLOT_OLANG | STAGEDAT_OLANG | YPK_GTT,YPK_GTT/1C0FB26B#117: 摧毁敌人的物资。使用C4炸弹！ || YPK_GTT/1C0FB26B#171: 从桥上应该能看到道路。摧毁经过那里的卡车。 || YPK_GTT/1C0FB26B#174: 用C4炸弹摧毁卡车。 || YPK_GTT/1C677327#57: 没时间了，尽快回到遗迹，摧毁人工智能AI。 || YPK_GTT/1C677327#78: 去研究设施LAB，摧毁PeaceWalker的“大脑”。,CN_ALREADY_COVERED,NO,NO,NO,NO,YES,YES
毅,U+6BC5,CJK UNIFIED IDEOGRAPH-6BC5,Lo,CJK Unified Ideographs,3,BRIEFING | LOOSE_OLANG | SLOT_OLANG,LOOSE_OLANG/007E2F18#4941: 上半身裸露状态下通关的任务数超过时授予，以表彰这份毅力。（英雄度增加） || SLOT_OLANG/5DEDCB1E#90892: 武士时代流传下来的遗物，以漂亮的木质外观著称。虽然显然不适合现代战争，但时有传闻说种子岛铳命中目标时会发生不可思议的事情。最有毅力的玩家或许会在自己的武器库中给它留一席之地…也可能不会。 || BRIEFING/BRIEFING_FILES_BLOCK_077B90#37: 漂亮的金发，刚毅的嘴角，严厉的目光。但那双眼睛深处，又带着慈爱的光。,CN_ALREADY_COVERED,NO,NO,NO,NO,YES,YES
毋,U+6BCB,CJK UNIFIED IDEOGRAPH-6BCB,Lo,CJK Unified Ideographs,2,BRIEFING | SLOT_OLANG,SLOT_OLANG/5DEDCB1E#90870: 一种生成多道相互交叉电磁波的装置。由此产生的干涉会形成一股集中的能量爆发，瞬间加热并膨胀周围空气，产生强大的爆炸效果。其威力毋庸置疑，但不能单独使用。带它上战场时，务必带上一名合作模式队友。 || BRIEFING/BRIEFING_FILES_BLOCK_0323D0#9: 也许吧。不过将军的功绩是毋庸置疑的。,CN_ALREADY_COVERED,NO,NO,NO,NO,YES,YES
母,U+6BCD,CJK UNIFIED IDEOGRAPH-6BCD,Lo,CJK Unified Ideographs,447,BRIEFING | LOOSE_OLANG | SLOT_OLANG | STAGEDAT_OLANG | YPK_GTT,YPK_GTT/1C0FB26B#11: 任务完成。母基地的大家也会高兴的。 || YPK_GTT/1C0FB26B#203: 任务完成。母基地见。 || YPK_GTT/1C0FB26B#226: 保护母基地！把导弹打下来！ || YPK_GTT/1C7679A5#311: 母基地交给我。尽管发挥你的实力去吧。 || YPK_GTT/1C79F42D#11: 保护母基地！制服GearREX！,CN_ALREADY_COVERED,NO,NO,NO,YES,YES,YES
每,U+6BCF,CJK UNIFIED IDEOGRAPH-6BCF,Lo,CJK Unified Ideographs,227,BRIEFING | LOOSE_OLANG | SLOT_OLANG | STAGEDAT_OLANG | YPK_GTT,YPK_GTT/1C7679A5#279: 轨道炮的充电等级每提升一级，威力都会大幅增加。 || YPK_GTT/1C79F3ED#2: 每个训练间到目标TARGET的距离不同。要根据情况切换武器。 || YPK_GTT/1C79F46D#1: 每块记忆板都有各自的作用。 || LOOSE_OLANG/007E2F18#5654: 电击Games由ASCIIMediaWorks发行的、面向“所有游戏爱好者”的综合游戏资讯杂志。在保留以往电击游戏专刊信息“浓度”和“深度”的同时，覆盖各种平台与各类游戏。编辑部博客也每日更新。每期超过300页，厚重是其特色，但遗憾的是不能当作打击武器使用。※截至2010年 || LOOSE_OLANG/007E2F18#5656: 周刊Famitsu1986年以《Famicom通信》之名创刊，是每周四发售的综合游戏杂志。由KADOKAWAGameLinkage发行。从家用机游戏到游戏应用、街机、PC，广泛覆盖各类游戏资讯。※图片为2010年当时版本,CN_ALREADY_COVERED,NO,NO,NO,NO,YES,YES
毒,U+6BD2,CJK UNIFIED IDEOGRAPH-6BD2,Lo,CJK Unified Ideographs,55,BRIEFING | LOOSE_OLANG | SLOT_OLANG | STAGEDAT_OLANG | YPK_GTT,YPK_GTT/1C7B72AD#10: 听说朱诺银斑蝶会吃有毒的叶子，把毒素积存在体内。 || YPK_GTT/1C7BF3AD#8: Basilisco的毒会把人石化。 || YPK_GTT/1C7C72AD#8: 幼虫会吃有毒的西番莲，所以成虫也有毒。 || LOOSE_OLANG/007E2F18#3960: 毒气射线发射！ || LOOSE_OLANG/007E2F18#5342: ●毒品,CN_ALREADY_COVERED,NO,NO,NO,YES,YES,YES
比,U+6BD4,CJK UNIFIED IDEOGRAPH-6BD4,Lo,CJK Unified Ideographs,549,BRIEFING | LOOSE_OLANG | SLOT_OLANG | STAGEDAT_OLANG | YPK_GTT,YPK_GTT/1C79F42D#35: 太棒了！比鸟还迷人！ || YPK_GTT/1C7A72AD#10: 蹲下时比站着恢复得更快。 || YPK_GTT/1C7A72AD#22: 右上角的百分比是伪装指数。 || YPK_GTT/1C7A736D#39: 实战完全不同…感觉比开发测试时狂暴好几倍。 || YPK_GTT/1C7C72ED#31: 呼——！这造型真厉害。动作比想象中还强…啊，抱歉。,CN_ALREADY_COVERED,NO,NO,NO,YES,YES,YES
毕,U+6BD5,CJK UNIFIED IDEOGRAPH-6BD5,Lo,CJK Unified Ideographs,132,BRIEFING | LOOSE_OLANG | SLOT_OLANG | YPK_GTT,YPK_GTT/1C7A73ED#25: 运输弹射器准备完毕！ || LOOSE_OLANG/007E2F18#3954: 发射角度设定完毕 || LOOSE_OLANG/007E2F18#3992: 发射角度设定完毕 || LOOSE_OLANG/007E2F18#4240: 冷却完毕，重新启动！ || LOOSE_OLANG/007E2F18#4244: 主炮装填完毕！,CN_ALREADY_COVERED,NO,NO,NO,NO,YES,YES
毛,U+6BDB,CJK UNIFIED IDEOGRAPH-6BDB,Lo,CJK Unified Ideographs,7,BRIEFING,BRIEFING/BRIEFING_FILES_BLOCK_0084F0#4: 还有人称“阿拉伯的劳伦斯”的T．E．劳伦斯少校。以及写过《游击战》的毛泽东…… || BRIEFING/BRIEFING_FILES_BLOCK_045AF0#6: 就是玛雅、阿兹特克文明传说中长着羽毛的蛇。 || BRIEFING/BRIEFING_FILES_BLOCK_045AF0#7: 长着羽毛的蛇……。 || BRIEFING/BRIEFING_FILES_BLOCK_05C0F0#2: 好。首先，它的样子你应该还记得。羽毛和背部是绿色VIRIDIAN与蓝色交织成渐变般的色彩，也就是翡翠绿。 || BRIEFING/BRIEFING_FILES_BLOCK_05DD90#4: 准确来说那不是毛，而是肉垂，不过看上去简直就是胡子。,CN_ALREADY_COVERED,NO,NO,NO,YES,YES,YES
毫,U+6BEB,CJK UNIFIED IDEOGRAPH-6BEB,Lo,CJK Unified Ideographs,46,BRIEFING | LOOSE_OLANG | SLOT_OLANG | STAGEDAT_OLANG | YPK_GTT,"YPK_GTT/1C79F2ED#9: 哥斯达黎加铁路轨距1,067毫米，和日本国铁一样。 || YPK_GTT/1C7B73AD#0: 这地形不利，几乎毫无遮掩。 || LOOSE_OLANG/00D345A5#5946: 以西德军主力步枪G3为基础衍生制造的冲锋枪。使用欧洲常见的9毫米弹药，威力中等。所配备的消音器为内置式，因此消音效果不会中断。作为冲锋枪，它罕见地采用闭膛待击机构，命中精度明显高于其他型号。凭借较高精度，其部位目标修正距离也比其他冲锋枪更远，使用手感接近突击步枪。面对中近距离敌人时，是一把可靠的武器。 || LOOSE_OLANG/00D345A5#5947: 以西德军主力步枪G3为基础衍生制造的冲锋枪。使用欧洲常见的9毫米弹药，威力中等。作为冲锋枪，它罕见地采用闭膛待击机构，命中精度明显高于其他型号。凭借较高精度，其部位目标修正距离也比其他冲锋枪更远，使用手感接近突击步枪。面对中近距离敌人时，是一把可靠的武器。配有消音器，但使用次数有限，需要注意。 || LOOSE_OLANG/00D345A5#5948: 以西德军主力步枪G3为基础衍生制造的冲锋枪。使用欧洲常见的9毫米弹药，威力中等。作为冲锋枪，它罕见地采用闭膛待击机构，命中精度明显高于其他型号。凭借较高精度，其部位目标修正距离也比其他冲锋枪更远，使用手感接近突击步枪。面对中近距离敌人时，是一把可靠的武器。",CN_ALREADY_COVERED,NO,NO,NO,NO,YES,YES
民,U+6C11,CJK UNIFIED IDEOGRAPH-6C11,Lo,CJK Unified Ideographs,98,BRIEFING | SLOT_OLANG | STAGEDAT_OLANG | YPK_GTT,YPK_GTT/1C7A73AD#4: 好大的船坞……要是能为尼加拉瓜人民NICA所用…… || STAGEDAT_OLANG/LANG_MISSION_INFO.OLANG#7394: 追击FSLN（桑地诺民族解放阵线）代表Amanda，获取核物资运输路线及敌方据点的情报。 || STAGEDAT_OLANG/LANG_MISSION_INFO.OLANG#7397: 深入利蒙东部的湿地丛林，抵达FSLN（桑地诺民族解放阵线）的藏身处，与司令官接触。 || STAGEDAT_OLANG/LANG_MISSION_INFO.OLANG#17933: 追击FSLN（桑地诺民族解放阵线）代表Amanda，获取核物资运输路线及敌方据点的情报。 || STAGEDAT_OLANG/LANG_MISSION_INFO.OLANG#17936: 深入利蒙东部的湿地丛林，抵达FSLN（桑地诺民族解放阵线）的藏身处，与司令官接触。,CN_ALREADY_COVERED,NO,NO,NO,YES,YES,YES
气,U+6C14,CJK UNIFIED IDEOGRAPH-6C14,Lo,CJK Unified Ideographs,675,BRIEFING | LOOSE_OLANG | OHD | SLOT_OLANG | STAGEDAT_OLANG | YPK_GTT,YPK_GTT/1C0FB26B#27: 我能感觉到……你的气息！ || YPK_GTT/1C0FB26B#188: 感受森林和山岭的气息……！ || YPK_GTT/1C677327#2: 完全隐藏气息的敌人，恐怕连敌人搜索也发现不了。 || YPK_GTT/1C79F42D#45: 喂，住手！那可是稀有的UMA猫！弄死了Capcom会生气的！ || YPK_GTT/1C79F42D#48: 总觉得它和我们有相同的气息。感觉它也是为战斗而生的。,CN_ALREADY_COVERED,NO,NO,NO,NO,YES,YES
氛,U+6C1B,CJK UNIFIED IDEOGRAPH-6C1B,Lo,CJK Unified Ideographs,19,BRIEFING | LOOSE_OLANG | SLOT_OLANG | STAGEDAT_OLANG,LOOSE_OLANG/007E2F18#4979: AXE香氛身体喷雾AXE是全球大型消费品制造商Unilever在世界各地推出的男性护理品牌。AXE香氛身体喷雾只需轻轻旋转瓶身并喷洒，即可轻松享受由知名调香师打造的正统香氛。采用淡香喷雾形式，不必担心喷得过多，无论什么场合都能让你保持酷劲。 || STAGEDAT_OLANG/LANG_ITEM_TEXT.OLANG#8351: AXE香氛身体喷雾 || STAGEDAT_OLANG/LANG_ITEM_TEXT.OLANG#16056: AXE香氛身体喷雾 || STAGEDAT_OLANG/LANG_MYOUTER_STAFF_COMMENT.OLANG#19594: “我不讨厌这里的这种气氛。” || SLOT_OLANG/5D4C49A2#36085: 我不讨厌这种氛围。,CN_ALREADY_COVERED,NO,NO,NO,NO,YES,YES
氢,U+6C22,CJK UNIFIED IDEOGRAPH-6C22,Lo,CJK Unified Ideographs,6,BRIEFING,BRIEFING/BRIEFING_FILES_BLOCK_054AD0#2: 不知道吗？Kubrick的《奇爱博士DR.STRANGELOVE，或：我如何学会停止担忧并爱上氢弹》。 || BRIEFING/BRIEFING_FILES_BLOCK_06A5D0#3: 那是一枚氢弹。 || BRIEFING/BRIEFING_FILES_BLOCK_06A5D0#4: 氢弹！？你是说那个巨大的球体就是氢弹？到底有多大的破坏力……。 || BRIEFING/BRIEFING_FILES_BLOCK_06A5D0#10: 一路走进敌国，抱着氢弹自爆，是吗。 || BRIEFING/BRIEFING_FILES_BLOCK_06AB40#6: PeaceWalker搭载的，是破坏力还要超过它的巨型氢弹。,CN_ALREADY_COVERED,NO,NO,NO,NO,YES,YES
氦,U+6C26,CJK UNIFIED IDEOGRAPH-6C26,Lo,CJK Unified Ideographs,1,BRIEFING,BRIEFING/BRIEFING_FILES_BLOCK_000D00#4: 对。把钢索固定在要回收对象的腰上。钢索另一头连着一个充满氦气的气球。,CN_ALREADY_COVERED,NO,NO,NO,NO,YES,YES
氧,U+6C27,CJK UNIFIED IDEOGRAPH-6C27,Lo,CJK Unified Ideographs,2,BRIEFING,BRIEFING/BRIEFING_FILES_BLOCK_014A80#2: 但心脏一停，氧气就无法输送到大脑，不久就会死亡。 || BRIEFING/BRIEFING_FILES_BLOCK_08EE30#3: 耐G实验、失重实验、加压氧环境模拟、宇航服测试……。,CN_ALREADY_COVERED,NO,NO,NO,NO,YES,YES
水,U+6C34,CJK UNIFIED IDEOGRAPH-6C34,Lo,CJK Unified Ideographs,492,BRIEFING | LOOSE_OLANG | SLOT_OLANG | STAGEDAT_OLANG | YPK_GTT,YPK_GTT/1C0FB26B#157: 嗯，拍得不错！虽然还没到普利策奖的水平…… || YPK_GTT/1C7679A5#198: 不能下水，那里超出任务范围。 || YPK_GTT/1C79F2ED#22: 村子北边的水渠似乎可以当桥用。 || YPK_GTT/1C7A72ED#92: 村子北边的导水管似乎可以当桥用。 || YPK_GTT/1C7B72AD#13: 沿海的货物是从这里走水路运的……？,CN_ALREADY_COVERED,NO,NO,NO,YES,YES,YES
永,U+6C38,CJK UNIFIED IDEOGRAPH-6C38,Lo,CJK Unified Ideographs,92,BRIEFING | LOOSE_OLANG | OHD | SLOT_OLANG | STAGEDAT_OLANG | YPK_GTT,YPK_GTT/1C79F46D#37: 而继承Boss之名的人，将驶向永无止境的战斗。 || OHD/1E4C1146#215: 向着胜利，直到永远 || LOOSE_OLANG/007E2F18#5409: ●为了永久和平 || LOOSE_OLANG/00D0C740#5903: 机器不会犯错。犯错的永远是人类。 || STAGEDAT_OLANG/LANG_MYOUTER_STAFF.OLANG#9816: （！）被解雇的人员将永远无法再次成为同伴。,CN_ALREADY_COVERED,NO,NO,NO,YES,YES,YES
汀,U+6C40,CJK UNIFIED IDEOGRAPH-6C40,Lo,CJK Unified Ideographs,1,BRIEFING,BRIEFING/BRIEFING_FILES_BLOCK_061FE0#6: 舒芙蕾、泡芙塔、可露丽、佛罗伦汀、库因阿曼、蜜桃梅尔巴……。,CN_ALREADY_COVERED,NO,NO,NO,NO,YES,YES
求,U+6C42,CJK UNIFIED IDEOGRAPH-6C42,Lo,CJK Unified Ideographs,396,BRIEFING | LOOSE_OLANG | OHD | SLOT_OLANG | STAGEDAT_OLANG | YPK_GTT,YPK_GTT/1C7679A5#38: 已确认炮击支援请求。现在开始支援炮击。 || YPK_GTT/1C7679A5#39: 开始执行刚才请求的支援炮击。可别被打中啊。 || YPK_GTT/1C7679A5#41: 等一会儿再请求支援。 || YPK_GTT/1C7679A5#45: 已确认支援请求。现在给你送纸箱。 || YPK_GTT/1C7679A5#46: 已确认纸箱支援请求。马上送到。,CN_ALREADY_COVERED,NO,NO,NO,YES,YES,YES
汇,U+6C47,CJK UNIFIED IDEOGRAPH-6C47,Lo,CJK Unified Ideographs,7,BRIEFING | LOOSE_OLANG | SLOT_OLANG,LOOSE_OLANG/007E2F18#5136: ●EVA的任务汇报 || SLOT_OLANG/5DDD0EA8#89686: ●EVA的任务汇报 || BRIEFING/BRIEFING_FILES_BLOCK_02A0B0#1: 自19世纪从巴拿马引进以来，香蕉就成了哥斯达黎加的主要农产品，带来大量外汇，不过…… || BRIEFING/BRIEFING_FILES_BLOCK_035660#6: 但至少能赚外汇。 || BRIEFING/BRIEFING_FILES_BLOCK_05ED20#2: 最前沿的时尚、世界最棒的美食，还有汇聚着拥有出色感性的人们——文化与艺术之都。,CN_ALREADY_COVERED,NO,NO,NO,NO,YES,YES
汉,U+6C49,CJK UNIFIED IDEOGRAPH-6C49,Lo,CJK Unified Ideographs,8,SLOT_OLANG | STAGEDAT_OLANG,STAGEDAT_OLANG/LANG_MYOUTER_STAFF_SKILL.OLANG#19796: 热血汉 || SLOT_OLANG/5DD982F6#88086: 热血汉 || SLOT_OLANG/5DD982F6#88161: 热血汉 || SLOT_OLANG/5DD982F6#88236: 热血汉 || SLOT_OLANG/5DD982F6#88311: 热血汉,CN_ALREADY_COVERED,NO,NO,NO,NO,YES,YES
汗,U+6C57,CJK UNIFIED IDEOGRAPH-6C57,Lo,CJK Unified Ideographs,2,BRIEFING,BRIEFING/BRIEFING_FILES_BLOCK_0813E0#20: 一开始我觉得很麻烦，可在烈日下追着球跑，即使没全力冲刺，也很快就汗流浃背。 || BRIEFING/BRIEFING_FILES_BLOCK_085AF0#26: 汗水飞溅，鲜血从皮肤上渗出。,CN_ALREADY_COVERED,NO,NO,NO,YES,YES,YES
池,U+6C60,CJK UNIFIED IDEOGRAPH-6C60,Lo,CJK Unified Ideographs,153,BRIEFING | SLOT_OLANG | STAGEDAT_OLANG | YPK_GTT,YPK_GTT/1C7679A5#272: 电池电量低。需要充电。 || STAGEDAT_OLANG/LANG_ITEM_TEXT.OLANG#7844: 军用电池。恢复所有电池槽的电量。正在恢复中…… || STAGEDAT_OLANG/LANG_ITEM_TEXT.OLANG#7845: 军用电池。恢复所有电池槽的电量。正在恢复中…… || STAGEDAT_OLANG/LANG_ITEM_TEXT.OLANG#7846: 军用电池。恢复所有电池槽的电量。正在恢复中…… || STAGEDAT_OLANG/LANG_ITEM_TEXT.OLANG#7847: 军用电池。恢复所有电池槽的电量。正在恢复中……,CN_ALREADY_COVERED,NO,NO,NO,YES,YES,YES
污,U+6C61,CJK UNIFIED IDEOGRAPH-6C61,Lo,CJK Unified Ideographs,10,BRIEFING | SLOT_OLANG,SLOT_OLANG/5D3AFD2D#34248: 给你在这世上最爱的恩人扣上污名，再亲手埋葬她吗？ || SLOT_OLANG/5D3AFD2D#34297: 为了洗清TheBoss的污名。 || SLOT_OLANG/5D3B022D#34684: 背负污名被埋葬 || SLOT_OLANG/5D3B05ED#35174: 你们会在历史上留下污名，然后从这个世界消失。 || BRIEFING/BRIEFING_FILES_BLOCK_017AD0#15: 虽然我讨厌坦克，但这个的话感觉能喜欢上。最棒的是不会排放废气。这样就不会污染哥斯达黎加的森林了，对吧？,CN_ALREADY_COVERED,NO,NO,NO,NO,YES,YES
汤,U+6C64,CJK UNIFIED IDEOGRAPH-6C64,Lo,CJK Unified Ideographs,3,BRIEFING | SLOT_OLANG,SLOT_OLANG/5DDFF09B#90146: 妈做的味噌汤……总是很咸啊…… || BRIEFING/BRIEFING_FILES_BLOCK_00B0B0#13: 第五？……你说的是汤因比之类的理论吗？ || BRIEFING/BRIEFING_FILES_BLOCK_0838E0#10: Amanda给我做了加有药草的汤，说是对感冒有效。,CN_ALREADY_COVERED,NO,NO,NO,NO,YES,YES
汽,U+6C7D,CJK UNIFIED IDEOGRAPH-6C7D,Lo,CJK Unified Ideographs,11,BRIEFING | SLOT_OLANG | YPK_GTT,YPK_GTT/1C79F2ED#10: 会有蒸汽机车吗？ || YPK_GTT/1C7A736D#21: 看蒸汽就能找到腹部散热器的位置。 || YPK_GTT/1C7A736D#27: 看到蒸汽了吗？那里就是辅助散热器！ || SLOT_OLANG/5D4C49A2#35998: 啊，好想喝一瓶好喝的汽水……那样我就能打起精神了…… || SLOT_OLANG/5D4C49A2#36354: 啊，好想喝一瓶好喝的汽水……那样我就能打起精神了……,CN_ALREADY_COVERED,NO,NO,NO,YES,YES,YES
沃,U+6C83,CJK UNIFIED IDEOGRAPH-6C83,Lo,CJK Unified Ideographs,72,BRIEFING | LOOSE_OLANG | SLOT_OLANG | STAGEDAT_OLANG,LOOSE_OLANG/007E2F18#5341: ●威廉·沃克 || STAGEDAT_OLANG/LANG_DEMOTELOP.OLANG#6042: 格罗兹尼格勒罗科沃伊贝雷格 || STAGEDAT_OLANG/LANG_DEMOTELOP.OLANG#6240: 格罗兹尼格勒罗科沃伊贝雷格 || STAGEDAT_OLANG/LANG_DEMOTELOP.OLANG#6282: 格罗兹尼格勒罗科沃伊贝雷格 || STAGEDAT_OLANG/LANG_DEMOTELOP.OLANG#6502: 格罗兹尼格勒罗科沃伊贝雷格,CN_ALREADY_COVERED,NO,NO,NO,NO,YES,YES
沉,U+6C89,CJK UNIFIED IDEOGRAPH-6C89,Lo,CJK Unified Ideographs,145,BRIEFING | LOOSE_OLANG | SLOT_OLANG | STAGEDAT_OLANG | YPK_GTT,YPK_GTT/1C0FB26B#228: 这样下去MotherBase会沉没！把导弹打下来！ || YPK_GTT/1C79F46D#52: 把机体沉入湖里也许能停止动力。但身体不听使唤。 || LOOSE_OLANG/00D345A5#5972: 热门模型玩具杂志。放置后，会有不少人被内容吸引，停下脚步沉浸阅读！ || LOOSE_OLANG/00D345A5#5973: 热门杂志。放置后，会有不少人被内容吸引，停下脚步沉浸阅读！ || LOOSE_OLANG/00D345A5#5974: 热门杂志。放置后，会有不少人被内容吸引，停下脚步沉浸阅读！,CN_ALREADY_COVERED,NO,NO,NO,NO,YES,YES
沙,U+6C99,CJK UNIFIED IDEOGRAPH-6C99,Lo,CJK Unified Ideographs,36,BRIEFING | LOOSE_OLANG | SLOT_OLANG | STAGEDAT_OLANG,LOOSE_OLANG/007E2F18#5186: ・沙皇炸弹 || STAGEDAT_OLANG/LANG_ITEM_TEXT.OLANG#7995: “Naked”状态下的裤装迷彩图案变体。在泥土或沙地环境中可提高伪装率，但效果只有上下装都使用迷彩时的一半。 || STAGEDAT_OLANG/LANG_ITEM_TEXT.OLANG#8025: “野战服”的迷彩变体。在泥土或沙地环境中可提高伪装率。 || STAGEDAT_OLANG/LANG_ITEM_TEXT.OLANG#8500: Naked（AUSCAM沙漠） || STAGEDAT_OLANG/LANG_ITEM_TEXT.OLANG#8532: AUSCAM沙漠,CN_ALREADY_COVERED,NO,NO,NO,NO,YES,YES
