character,codepoint,unicode_name,unicode_category,unicode_block,production_occurrences,resource_classes,sample_contexts,classification,JPN-0007,JPN-000E,JPN-001C,JPN-00C7,MLG-0007,MLG-000E
泞,U+6CDE,CJK UNIFIED IDEOGRAPH-6CDE,Lo,CJK Unified Ideographs,1,BRIEFING,BRIEFING/BRIEFING_FILES_BLOCK_06C9D0#3: 湿地里的泥泞，就算用腿走也很吃力吧。,TRUE_NEW_GLYPH,NO,NO,NO,NO,NO,NO
涵,U+6DB5,CJK UNIFIED IDEOGRAPH-6DB5,Lo,CJK Unified Ideographs,1,LOOSE_OLANG,LOOSE_OLANG/00D345A5#5949: 《Fami通Xbox360》日本唯一一本Xbox360专业游戏资讯杂志。不仅涵盖日本国内，也收录海外版游戏等与Xbox360有关的各种资讯。2010年8月号迎来总第100期。由Enterbrain发行。,TRUE_NEW_GLYPH,NO,NO,NO,NO,NO,NO
滔,U+6ED4,CJK UNIFIED IDEOGRAPH-6ED4,Lo,CJK Unified Ideographs,1,BRIEFING,BRIEFING/BRIEFING_FILES_BLOCK_07A0B0#66: “那时我优先选择了母性，所以没能完成任务。哪怕背负滔天罪孽，我也应该杀了他。”,TRUE_NEW_GLYPH,NO,NO,NO,NO,NO,NO
滴,U+6EF4,CJK UNIFIED IDEOGRAPH-6EF4,Lo,CJK Unified Ideographs,1,BRIEFING,BRIEFING/BRIEFING_FILES_BLOCK_023240#4: 他们会编造滴水不漏的掩护身份潜伏下来。身份、工作，有时甚至连家人都会准备好。,TRUE_NEW_GLYPH,NO,NO,NO,NO,NO,NO
炉,U+7089,CJK UNIFIED IDEOGRAPH-7089,Lo,CJK Unified Ideographs,1,LOOSE_OLANG,LOOSE_OLANG/005184E3#3199: “听说‘BonCurryNEO’可以直接用微波炉加热。不用再等3分钟，2分钟就行了。”,TRUE_NEW_GLYPH,NO,NO,NO,NO,NO,NO
煞,U+715E,CJK UNIFIED IDEOGRAPH-715E,Lo,CJK Unified Ideographs,1,BRIEFING,BRIEFING/BRIEFING_FILES_BLOCK_0813E0#4: 但这种说法能被传得煞有介事，也足以说明中美洲人有多痴迷足球。,TRUE_NEW_GLYPH,NO,NO,NO,NO,NO,NO
牟,U+725F,CJK UNIFIED IDEOGRAPH-725F,Lo,CJK Unified Ideographs,1,BRIEFING,BRIEFING/BRIEFING_FILES_BLOCK_02FE70#15: 那些家伙竟然拿自己国家的不幸牟利！,TRUE_NEW_GLYPH,NO,NO,NO,NO,NO,NO
玄,U+7384,CJK UNIFIED IDEOGRAPH-7384,Lo,CJK Unified Ideographs,1,BRIEFING,BRIEFING/BRIEFING_FILES_BLOCK_016AE0#4: 是不是我说得太玄乎了？,TRUE_NEW_GLYPH,NO,NO,NO,NO,NO,NO
琐,U+7410,CJK UNIFIED IDEOGRAPH-7410,Lo,CJK Unified Ideographs,1,BRIEFING,BRIEFING/BRIEFING_FILES_BLOCK_001B50#10: 剩下的琐事交给我就行。,TRUE_NEW_GLYPH,NO,NO,NO,NO,NO,NO
畴,U+7574,CJK UNIFIED IDEOGRAPH-7574,Lo,CJK Unified Ideographs,1,BRIEFING,BRIEFING/BRIEFING_FILES_BLOCK_00D8F0#4: 那样的话，就属于自卫权的范畴了。,TRUE_NEW_GLYPH,NO,NO,NO,NO,NO,NO
睿,U+777F,CJK UNIFIED IDEOGRAPH-777F,Lo,CJK Unified Ideographs,1,BRIEFING,BRIEFING/BRIEFING_FILES_BLOCK_077B90#52: 可我还是被她吸引了。她很美，更重要的是，她非常睿智。,TRUE_NEW_GLYPH,NO,NO,NO,NO,NO,NO
瞪,U+77AA,CJK UNIFIED IDEOGRAPH-77AA,Lo,CJK Unified Ideographs,1,BRIEFING,BRIEFING/BRIEFING_FILES_BLOCK_00E980#32: 父亲安排的漆黑轿车来接我。那些一直嘲笑我发色的邻居们，全都瞪大眼睛看着我。,TRUE_NEW_GLYPH,NO,NO,NO,NO,NO,NO
磐,U+78D0,CJK UNIFIED IDEOGRAPH-78D0,Lo,CJK Unified Ideographs,1,BRIEFING,BRIEFING/BRIEFING_FILES_BLOCK_034C20#20: 要让伙伴和部下感到你坚如磐石、可以依靠。这就是领导者的职责。别忘了。,TRUE_NEW_GLYPH,NO,NO,NO,NO,NO,NO
禅,U+7985,CJK UNIFIED IDEOGRAPH-7985,Lo,CJK Unified Ideographs,1,BRIEFING,BRIEFING/BRIEFING_FILES_BLOCK_0408D0#3: 当然了！“祖国或死亡”……这是老爸的口头禅。,TRUE_NEW_GLYPH,NO,NO,NO,NO,NO,NO
籽,U+7C7D,CJK UNIFIED IDEOGRAPH-7C7D,Lo,CJK Unified Ideographs,1,BRIEFING,BRIEFING/BRIEFING_FILES_BLOCK_02A4F0#4: 食用香蕉不会结籽，所以是分株育苗，再把这些苗一株株种到田里……,TRUE_NEW_GLYPH,NO,NO,NO,NO,NO,NO
糙,U+7CD9,CJK UNIFIED IDEOGRAPH-7CD9,Lo,CJK Unified Ideographs,1,BRIEFING,BRIEFING/BRIEFING_FILES_BLOCK_0813E0#11: 士兵们平时都经过训练，身体素质很好，但毕竟不是职业球员，技术还很粗糙，粗野动作也不少。,TRUE_NEW_GLYPH,NO,NO,NO,NO,NO,NO
缀,U+7F00,CJK UNIFIED IDEOGRAPH-7F00,Lo,CJK Unified Ideographs,1,BRIEFING,BRIEFING/BRIEFING_FILES_BLOCK_00A8A0#4: 意思？你是问词源吗？按西班牙语发音是「guerrilla」，意思是「小型战争」。它是表示战争的「guerra」加上指小后缀派生出来的。,TRUE_NEW_GLYPH,NO,NO,NO,NO,NO,NO
缨,U+7F28,CJK UNIFIED IDEOGRAPH-7F28,Lo,CJK Unified Ideographs,1,BRIEFING,BRIEFING/BRIEFING_FILES_BLOCK_077B90#61: 就算他们主动请缨，NASA高层也不会允许。,TRUE_NEW_GLYPH,NO,NO,NO,NO,NO,NO
耽,U+803D,CJK UNIFIED IDEOGRAPH-803D,Lo,CJK Unified Ideographs,1,BRIEFING,BRIEFING/BRIEFING_FILES_BLOCK_006CF0#0: Snake，能耽误你一下吗？,TRUE_NEW_GLYPH,NO,NO,NO,NO,NO,NO
肖,U+8096,CJK UNIFIED IDEOGRAPH-8096,Lo,CJK Unified Ideographs,1,BRIEFING,BRIEFING/BRIEFING_FILES_BLOCK_052110#3: 对。就是肖像刻在拉什莫尔山上的那些历任美国总统。,TRUE_NEW_GLYPH,NO,NO,NO,NO,NO,NO
胧,U+80E7,CJK UNIFIED IDEOGRAPH-80E7,Lo,CJK Unified Ideographs,1,BRIEFING,BRIEFING/BRIEFING_FILES_BLOCK_0377F0#1: 很不巧，还是比较严重的疟疾。意识都变得朦胧，据说一度甚至被认为没救了。,TRUE_NEW_GLYPH,NO,NO,NO,NO,NO,NO
舔,U+8214,CJK UNIFIED IDEOGRAPH-8214,Lo,CJK Unified Ideographs,1,BRIEFING,BRIEFING/BRIEFING_FILES_BLOCK_082710#3: 我问她有什么事，她的视线却像舔舐一样，从我身上慢慢扫过。,TRUE_NEW_GLYPH,NO,NO,NO,NO,NO,NO
萍,U+840D,CJK UNIFIED IDEOGRAPH-840D,Lo,CJK Unified Ideographs,1,SLOT_OLANG,SLOT_OLANG/5D3AF54D#33382: 他们愿意给我们这些无根浮萍一个安顿下来的地方。,TRUE_NEW_GLYPH,NO,NO,NO,NO,NO,NO
萦,U+8426,CJK UNIFIED IDEOGRAPH-8426,Lo,CJK Unified Ideographs,1,BRIEFING,BRIEFING/BRIEFING_FILES_BLOCK_05FD50#11: JacquesDemy导演写的歌词和MichelLegrand的音乐，深深刺进了我的心。直到现在，那段旋律还一直萦绕在脑海里！,TRUE_NEW_GLYPH,NO,NO,NO,NO,NO,NO
蚓,U+8693,CJK UNIFIED IDEOGRAPH-8693,Lo,CJK Unified Ideographs,1,YPK_GTT,YPK_GTT/1C79F46D#49: 据说在卷舌宇宙闻名的紫蚯蚓标本，放在切腹岩上，等音叉眨眼就好。,TRUE_NEW_GLYPH,NO,NO,NO,NO,NO,NO
蚯,U+86AF,CJK UNIFIED IDEOGRAPH-86AF,Lo,CJK Unified Ideographs,1,YPK_GTT,YPK_GTT/1C79F46D#49: 据说在卷舌宇宙闻名的紫蚯蚓标本，放在切腹岩上，等音叉眨眼就好。,TRUE_NEW_GLYPH,NO,NO,NO,NO,NO,NO
袒,U+8892,CJK UNIFIED IDEOGRAPH-8892,Lo,CJK Unified Ideographs,1,BRIEFING,BRIEFING/BRIEFING_FILES_BLOCK_087AF0#27: 要是他愿意袒护我，什么也不对别人说……。,TRUE_NEW_GLYPH,NO,NO,NO,NO,NO,NO
诠,U+8BE0,CJK UNIFIED IDEOGRAPH-8BE0,Lo,CJK Unified Ideographs,1,SLOT_OLANG,SLOT_OLANG/5D3B05ED#35188: 然而，两人各自作出了不同的诠释，最终彼此对立，而他们共同的起点“Zero”也一分为二。,TRUE_NEW_GLYPH,NO,NO,NO,NO,NO,NO
询,U+8BE2,CJK UNIFIED IDEOGRAPH-8BE2,Lo,CJK Unified Ideographs,1,STAGEDAT_OLANG,STAGEDAT_OLANG/LANG_MYOUTER_STAFF_SKILL.OLANG#19809: 心理咨询师,TRUE_NEW_GLYPH,NO,NO,NO,NO,NO,NO
诩,U+8BE9,CJK UNIFIED IDEOGRAPH-8BE9,Lo,CJK Unified Ideographs,1,BRIEFING,BRIEFING/BRIEFING_FILES_BLOCK_07FF00#6: 陪着没心没肺的Cécile和自诩革命家的Amanda聊天，实在烦人。,TRUE_NEW_GLYPH,NO,NO,NO,NO,NO,NO
谣,U+8C23,CJK UNIFIED IDEOGRAPH-8C23,Lo,CJK Unified Ideographs,1,BRIEFING,BRIEFING/BRIEFING_FILES_BLOCK_013630#5: 当然是谣言。“NAKED”这个代号，是因为武器、装备、食物全都要在当地获取……,TRUE_NEW_GLYPH,NO,NO,NO,NO,NO,NO
赝,U+8D5D,CJK UNIFIED IDEOGRAPH-8D5D,Lo,CJK Unified Ideographs,1,BRIEFING,BRIEFING/BRIEFING_FILES_BLOCK_051320#7: 住手！那种东西只是赝品！！,TRUE_NEW_GLYPH,NO,NO,NO,NO,NO,NO
踞,U+8E1E,CJK UNIFIED IDEOGRAPH-8E1E,Lo,CJK Unified Ideographs,1,BRIEFING,BRIEFING/BRIEFING_FILES_BLOCK_02C580#6: 真讽刺。如今雇佣兵又盘踞在那座堡垒里。,TRUE_NEW_GLYPH,NO,NO,NO,NO,NO,NO
轿,U+8F7F,CJK UNIFIED IDEOGRAPH-8F7F,Lo,CJK Unified Ideographs,1,BRIEFING,BRIEFING/BRIEFING_FILES_BLOCK_00E980#32: 父亲安排的漆黑轿车来接我。那些一直嘲笑我发色的邻居们，全都瞪大眼睛看着我。,TRUE_NEW_GLYPH,NO,NO,NO,NO,NO,NO
辖,U+8F96,CJK UNIFIED IDEOGRAPH-8F96,Lo,CJK Unified Ideographs,1,SLOT_OLANG,SLOT_OLANG/5D3B05ED#35202: 只要接受提议，MSF和ZEKEZEKE仍可像以往一样置于你的管辖之下。,TRUE_NEW_GLYPH,NO,NO,NO,NO,NO,NO
迄,U+8FC4,CJK UNIFIED IDEOGRAPH-8FC4,Lo,CJK Unified Ideographs,1,BRIEFING,BRIEFING/BRIEFING_FILES_BLOCK_06AB40#0: 迄今实际引爆过的世界最大核弹，是苏联的RDS-220，通称“炸弹皇帝TSARBOMBA”。,TRUE_NEW_GLYPH,NO,NO,NO,NO,NO,NO
锚,U+951A,CJK UNIFIED IDEOGRAPH-951A,Lo,CJK Unified Ideographs,1,YPK_GTT,YPK_GTT/1C7B72ED#17: 糟了，敌兵正在抛锚的卡车周围游荡。,TRUE_NEW_GLYPH,NO,NO,NO,NO,NO,NO
锤,U+9524,CJK UNIFIED IDEOGRAPH-9524,Lo,CJK Unified Ideographs,1,BRIEFING,BRIEFING/BRIEFING_FILES_BLOCK_090C40#11: 真正一锤定音的，是苏联在飞行结束后立刻展开的宣传攻势。,TRUE_NEW_GLYPH,NO,NO,NO,NO,NO,NO
锵,U+9535,CJK UNIFIED IDEOGRAPH-9535,Lo,CJK Unified Ideographs,1,BRIEFING,BRIEFING/BRIEFING_FILES_BLOCK_05DD90#9: 另外，胡须鸟还以叫声特别响亮而闻名。声音是“砰——”“锵——”这种金属般的音色，听起来都不像鸟叫。,TRUE_NEW_GLYPH,NO,NO,NO,NO,NO,NO
霸,U+9738,CJK UNIFIED IDEOGRAPH-9738,Lo,CJK Unified Ideographs,1,BRIEFING,BRIEFING/BRIEFING_FILES_BLOCK_036310#12: 美国一向如此。总是打着对自己有利的旗号，在别人的国家里横行霸道。,TRUE_NEW_GLYPH,NO,NO,NO,NO,NO,NO
靡,U+9761,CJK UNIFIED IDEOGRAPH-9761,Lo,CJK Unified Ideographs,1,SLOT_OLANG,SLOT_OLANG/5D904CFF#62863: 激浪自1958年诞生于美国以来，主要在年轻人中广受欢迎，成为包括日本在内风靡全球的长销品牌。其特色是独特的柑橘风味，顺口畅饮的舒适刺激能够消解口渴。MountainDew意为“山间露水”，象征清爽的美味。,TRUE_NEW_GLYPH,NO,NO,NO,NO,NO,NO
颖,U+9896,CJK UNIFIED IDEOGRAPH-9896,Lo,CJK Unified Ideographs,1,SLOT_OLANG,SLOT_OLANG/5D2DCCC3#30689: 由美国与西德这两个西方坦克强国联手，计划共同开发的下一代坦克试作车辆（美国方面开发型号）。搭载的152mm炮/导弹发射器是一种既能发射传统炮弹又能发射导弹的新颖武器系统，目标是大幅提高综合火力。防御方面也设置了防火隔舱以及弹药舱泄压区等，设计时强烈强调了防御强化。如何削弱车辆本身的战斗力，将会左右这场战斗的胜负。,TRUE_NEW_GLYPH,NO,NO,NO,NO,NO,NO
颠,U+98A0,CJK UNIFIED IDEOGRAPH-98A0,Lo,CJK Unified Ideographs,1,BRIEFING,BRIEFING/BRIEFING_FILES_BLOCK_073590#9: 我又一次被她迷得神魂颠倒。,TRUE_NEW_GLYPH,NO,NO,NO,NO,NO,NO
飓,U+98D3,CJK UNIFIED IDEOGRAPH-98D3,Lo,CJK Unified Ideographs,1,SLOT_OLANG,SLOT_OLANG/5D06A8D5#22956: (不要)#遭遇飓风。(如果已经遭遇沉船)遭遇了沉船。,TRUE_NEW_GLYPH,NO,NO,NO,NO,NO,NO
馈,U+9988,CJK UNIFIED IDEOGRAPH-9988,Lo,CJK Unified Ideographs,1,BRIEFING,BRIEFING/BRIEFING_FILES_BLOCK_055B40#13: 当然，我也不是要你白白让我做研究。成果会回馈给你们。,TRUE_NEW_GLYPH,NO,NO,NO,NO,NO,NO
鼾,U+9F3E,CJK UNIFIED IDEOGRAPH-9F3E,Lo,CJK Unified Ideographs,1,SLOT_OLANG,SLOT_OLANG/5D420130#35604: 因为Boss的鼾声……,TRUE_NEW_GLYPH,NO,NO,NO,NO,NO,NO
