character,codepoint,production_occurrences,classification,JPN-0007,JPN-000E,JPN-001C,JPN-00C7,MLG-0007,MLG-000E
噌,U+564C,1,JPN_RECOVERABLE,NO,NO,NO,YES,NO,NO
噢,U+5662,6,CN_ALREADY_COVERED,NO,NO,NO,NO,YES,YES
器,U+5668,3730,CN_ALREADY_COVERED,YES,YES,YES,YES,YES,YES
噩,U+5669,33,CN_ALREADY_COVERED,NO,NO,NO,NO,YES,YES
噪,U+566A,15,CN_ALREADY_COVERED,NO,NO,NO,NO,YES,YES
噫,U+566B,76,TRUE_NEW_GLYPH,NO,NO,NO,NO,NO,NO
噼,U+567C,1,TRUE_NEW_GLYPH,NO,NO,NO,NO,NO,NO
嚏,U+568F,12,CN_ALREADY_COVERED,NO,NO,NO,NO,YES,YES
嚯,U+56AF,1,CN_ALREADY_COVERED,NO,NO,NO,NO,YES,YES
嚷,U+56B7,2,TRUE_NEW_GLYPH,NO,NO,NO,NO,NO,NO
嚼,U+56BC,1,CN_ALREADY_COVERED,NO,NO,NO,NO,YES,YES
囊,U+56CA,1,CN_ALREADY_COVERED,NO,NO,NO,NO,YES,YES
囔,U+56D4,1,CN_ALREADY_COVERED,NO,NO,NO,NO,YES,YES
囚,U+56DA,48,CN_ALREADY_COVERED,NO,NO,NO,YES,YES,YES
四,U+56DB,54,CN_ALREADY_COVERED,NO,NO,NO,YES,YES,YES
回,U+56DE,2481,CN_ALREADY_COVERED,NO,YES,NO,YES,YES,YES
因,U+56E0,857,CN_ALREADY_COVERED,NO,NO,NO,YES,YES,YES
团,U+56E2,432,CN_ALREADY_COVERED,NO,NO,NO,NO,YES,YES
园,U+56ED,422,CN_ALREADY_COVERED,NO,NO,NO,NO,YES,YES
困,U+56F0,85,CN_ALREADY_COVERED,NO,NO,NO,YES,YES,YES
围,U+56F4,314,CN_ALREADY_COVERED,NO,NO,NO,NO,YES,YES
固,U+56FA,60,CN_ALREADY_COVERED,NO,NO,NO,YES,YES,YES
国,U+56FD,1236,CN_ALREADY_COVERED,YES,NO,YES,YES,YES,YES
图,U+56FE,1804,CN_ALREADY_COVERED,NO,NO,NO,NO,YES,YES
圆,U+5706,14,CN_ALREADY_COVERED,NO,NO,NO,NO,YES,YES
圈,U+5708,6,CN_ALREADY_COVERED,NO,NO,NO,NO,YES,YES
土,U+571F,72,CN_ALREADY_COVERED,NO,NO,NO,YES,YES,YES
圣,U+5723,103,CN_ALREADY_COVERED,NO,NO,NO,NO,YES,YES
在,U+5728,7598,CN_ALREADY_COVERED,NO,NO,YES,YES,YES,YES
地,U+5730,3418,CN_ALREADY_COVERED,YES,NO,YES,YES,YES,YES
场,U+573A,742,CN_ALREADY_COVERED,NO,NO,NO,NO,YES,YES
圾,U+573E,1,CN_ALREADY_COVERED,NO,NO,NO,NO,YES,YES
址,U+5740,8,CN_ALREADY_COVERED,NO,NO,NO,NO,YES,YES
均,U+5747,80,CN_ALREADY_COVERED,NO,NO,NO,YES,YES,YES
坊,U+574A,4,CN_ALREADY_COVERED,NO,NO,NO,YES,YES,YES
坎,U+574E,8,CN_ALREADY_COVERED,NO,NO,NO,NO,YES,YES
坏,U+574F,395,CN_ALREADY_COVERED,NO,NO,NO,NO,YES,YES
坐,U+5750,253,CN_ALREADY_COVERED,NO,NO,NO,NO,YES,YES
坑,U+5751,126,CN_ALREADY_COVERED,NO,NO,NO,NO,YES,YES
块,U+5757,21,CN_ALREADY_COVERED,NO,NO,NO,NO,YES,YES
坚,U+575A,54,CN_ALREADY_COVERED,NO,NO,NO,NO,YES,YES
坞,U+575E,20,CN_ALREADY_COVERED,NO,NO,NO,NO,YES,YES
坟,U+575F,1,CN_ALREADY_COVERED,NO,NO,NO,NO,YES,YES
坠,U+5760,5,CN_ALREADY_COVERED,NO,NO,NO,NO,YES,YES
坡,U+5761,31,CN_ALREADY_COVERED,NO,NO,NO,NO,YES,YES
坦,U+5766,887,CN_ALREADY_COVERED,NO,NO,NO,NO,YES,YES
坪,U+576A,12,CN_ALREADY_COVERED,NO,NO,NO,NO,YES,YES
垂,U+5782,58,CN_ALREADY_COVERED,NO,NO,NO,YES,YES,YES
垃,U+5783,1,CN_ALREADY_COVERED,NO,NO,NO,NO,YES,YES
垄,U+5784,1,CN_ALREADY_COVERED,NO,NO,NO,NO,YES,YES
型,U+578B,2497,CN_ALREADY_COVERED,YES,NO,NO,YES,YES,YES
垒,U+5792,7,CN_ALREADY_COVERED,NO,NO,NO,NO,YES,YES
垦,U+57A6,1,TRUE_NEW_GLYPH,NO,NO,NO,NO,NO,NO
垫,U+57AB,43,CN_ALREADY_COVERED,NO,NO,NO,NO,YES,YES
垮,U+57AE,1,CN_ALREADY_COVERED,NO,NO,NO,NO,YES,YES
埃,U+57C3,241,CN_ALREADY_COVERED,NO,NO,NO,NO,YES,YES
埋,U+57CB,77,CN_ALREADY_COVERED,NO,NO,NO,YES,YES,YES
城,U+57CE,7,CN_ALREADY_COVERED,NO,NO,NO,YES,YES,YES
域,U+57DF,674,CN_ALREADY_COVERED,YES,NO,NO,YES,YES,YES
培,U+57F9,25,CN_ALREADY_COVERED,NO,NO,NO,YES,YES,YES
基,U+57FA,1805,CN_ALREADY_COVERED,YES,NO,YES,YES,YES,YES
堂,U+5802,161,CN_ALREADY_COVERED,NO,NO,NO,YES,YES,YES
堆,U+5806,16,CN_ALREADY_COVERED,NO,NO,NO,NO,YES,YES
堕,U+5815,1,CN_ALREADY_COVERED,NO,NO,YES,YES,YES,YES
堡,U+5821,24,CN_ALREADY_COVERED,NO,NO,NO,NO,YES,YES
堤,U+5824,1,JPN_RECOVERABLE,NO,NO,NO,YES,NO,NO
堪,U+582A,39,CN_ALREADY_COVERED,NO,NO,NO,YES,YES,YES
堵,U+5835,7,CN_ALREADY_COVERED,NO,NO,NO,YES,YES,YES
塌,U+584C,6,CN_ALREADY_COVERED,NO,NO,NO,NO,YES,YES
塑,U+5851,56,CN_ALREADY_COVERED,NO,NO,NO,YES,YES,YES
塔,U+5854,362,CN_ALREADY_COVERED,NO,NO,NO,YES,YES,YES
塚,U+585A,12,CN_ALREADY_COVERED,YES,NO,NO,YES,YES,NO
塞,U+585E,45,CN_ALREADY_COVERED,NO,NO,NO,YES,YES,YES
填,U+586B,129,CN_ALREADY_COVERED,NO,NO,NO,YES,YES,YES
境,U+5883,380,CN_ALREADY_COVERED,YES,NO,NO,YES,YES,YES
墓,U+5893,1,CN_ALREADY_COVERED,NO,NO,NO,YES,YES,YES
墙,U+5899,82,CN_ALREADY_COVERED,NO,NO,NO,NO,YES,YES
增,U+589E,1016,CN_ALREADY_COVERED,NO,NO,NO,NO,YES,YES
墟,U+589F,1,CN_ALREADY_COVERED,NO,NO,NO,YES,YES,YES
墨,U+58A8,11,CN_ALREADY_COVERED,NO,NO,NO,NO,YES,YES
壁,U+58C1,52,CN_ALREADY_COVERED,NO,NO,NO,YES,YES,YES
壤,U+58E4,3,CN_ALREADY_COVERED,NO,NO,NO,NO,YES,YES
士,U+58EB,1442,CN_ALREADY_COVERED,NO,NO,YES,YES,YES,YES
壮,U+58EE,27,CN_ALREADY_COVERED,NO,NO,NO,NO,YES,YES
声,U+58F0,828,CN_ALREADY_COVERED,YES,NO,YES,YES,YES,YES
壳,U+58F3,26,CN_ALREADY_COVERED,NO,NO,NO,NO,YES,YES
处,U+5904,521,CN_ALREADY_COVERED,NO,NO,NO,NO,YES,YES
备,U+5907,2080,CN_ALREADY_COVERED,NO,NO,NO,NO,YES,YES
复,U+590D,1167,CN_ALREADY_COVERED,NO,NO,NO,NO,YES,YES
夏,U+590F,66,CN_ALREADY_COVERED,NO,NO,NO,YES,YES,YES
夕,U+5915,3,CN_ALREADY_COVERED,NO,NO,NO,YES,YES,YES
外,U+5916,353,CN_ALREADY_COVERED,NO,YES,NO,YES,YES,YES
多,U+591A,1412,CN_ALREADY_COVERED,YES,NO,YES,YES,YES,YES
夜,U+591C,179,CN_ALREADY_COVERED,NO,NO,NO,YES,YES,YES
够,U+591F,209,CN_ALREADY_COVERED,NO,NO,NO,NO,YES,YES
大,U+5927,2474,CN_ALREADY_COVERED,YES,YES,YES,YES,YES,YES
天,U+5929,401,CN_ALREADY_COVERED,NO,NO,NO,YES,YES,YES
太,U+592A,426,CN_ALREADY_COVERED,NO,NO,NO,YES,YES,YES
夫,U+592B,133,CN_ALREADY_COVERED,NO,NO,NO,YES,YES,YES
央,U+592E,32,CN_ALREADY_COVERED,NO,NO,NO,YES,YES,YES
失,U+5931,1730,CN_ALREADY_COVERED,YES,NO,YES,YES,YES,YES
头,U+5934,800,CN_ALREADY_COVERED,NO,NO,NO,NO,YES,YES
夷,U+5937,1,CN_ALREADY_COVERED,NO,NO,NO,NO,YES,YES
夸,U+5938,7,CN_ALREADY_COVERED,NO,NO,NO,NO,YES,YES
夹,U+5939,26,CN_ALREADY_COVERED,NO,NO,NO,NO,YES,YES
夺,U+593A,346,CN_ALREADY_COVERED,NO,NO,NO,NO,YES,YES
奇,U+5947,168,CN_ALREADY_COVERED,YES,NO,NO,YES,YES,YES
奈,U+5948,131,CN_ALREADY_COVERED,NO,NO,NO,YES,YES,YES
奉,U+5949,6,CN_ALREADY_COVERED,NO,NO,NO,NO,YES,YES
奋,U+594B,49,CN_ALREADY_COVERED,NO,NO,NO,NO,YES,YES
奏,U+594F,38,CN_ALREADY_COVERED,NO,NO,NO,NO,YES,YES
契,U+5951,3,CN_ALREADY_COVERED,NO,NO,NO,YES,YES,YES
奔,U+5954,69,CN_ALREADY_COVERED,NO,NO,NO,YES,YES,YES
奖,U+5956,57,CN_ALREADY_COVERED,NO,NO,NO,NO,YES,YES
套,U+5957,99,CN_ALREADY_COVERED,NO,NO,NO,NO,YES,YES
奠,U+5960,1,TRUE_NEW_GLYPH,NO,NO,NO,NO,NO,NO
奥,U+5965,10,CN_ALREADY_COVERED,NO,YES,NO,YES,YES,YES
女,U+5973,318,CN_ALREADY_COVERED,YES,NO,YES,YES,YES,YES
奴,U+5974,1,CN_ALREADY_COVERED,NO,NO,YES,YES,YES,YES
奶,U+5976,80,CN_ALREADY_COVERED,NO,NO,NO,NO,YES,YES
她,U+5979,617,CN_ALREADY_COVERED,NO,NO,NO,NO,YES,YES
好,U+597D,1874,CN_ALREADY_COVERED,YES,NO,NO,YES,YES,YES
如,U+5982,705,CN_ALREADY_COVERED,NO,NO,NO,YES,YES,YES
妇,U+5987,1,CN_ALREADY_COVERED,NO,NO,NO,NO,YES,YES
妈,U+5988,61,CN_ALREADY_COVERED,NO,NO,NO,NO,YES,YES
妒,U+5992,3,CN_ALREADY_COVERED,NO,NO,NO,NO,YES,YES
妙,U+5999,15,CN_ALREADY_COVERED,NO,NO,NO,YES,YES,YES
妥,U+59A5,3,CN_ALREADY_COVERED,NO,NO,NO,NO,YES,YES
妨,U+59A8,107,CN_ALREADY_COVERED,NO,NO,NO,YES,YES,YES
妻,U+59BB,13,CN_ALREADY_COVERED,NO,NO,NO,YES,YES,YES
姆,U+59C6,5,CN_ALREADY_COVERED,NO,NO,NO,NO,YES,YES
始,U+59CB,787,CN_ALREADY_COVERED,YES,NO,YES,YES,YES,YES
姐,U+59D0,20,CN_ALREADY_COVERED,NO,NO,NO,NO,YES,YES
姑,U+59D1,8,CN_ALREADY_COVERED,NO,NO,NO,NO,YES,YES
姓,U+59D3,13,CN_ALREADY_COVERED,NO,NO,NO,YES,YES,YES
委,U+59D4,42,CN_ALREADY_COVERED,NO,NO,NO,YES,YES,YES
姨,U+59E8,1,CN_ALREADY_COVERED,NO,NO,NO,NO,YES,YES
姿,U+59FF,32,CN_ALREADY_COVERED,NO,NO,NO,YES,YES,YES
威,U+5A01,836,CN_ALREADY_COVERED,YES,YES,NO,YES,YES,YES
娃,U+5A03,1,CN_ALREADY_COVERED,NO,NO,NO,NO,YES,YES
娇,U+5A07,9,CN_ALREADY_COVERED,NO,NO,NO,NO,YES,YES
娘,U+5A18,5,CN_ALREADY_COVERED,NO,YES,NO,YES,YES,YES
娱,U+5A31,1,CN_ALREADY_COVERED,NO,NO,NO,NO,YES,YES
娴,U+5A34,1,TRUE_NEW_GLYPH,NO,NO,NO,NO,NO,NO
婚,U+5A5A,62,CN_ALREADY_COVERED,NO,YES,NO,YES,YES,YES
婴,U+5A74,1,TRUE_NEW_GLYPH,NO,NO,NO,NO,NO,NO
媒,U+5A92,5,CN_ALREADY_COVERED,NO,NO,NO,NO,YES,YES
媲,U+5AB2,1,TRUE_NEW_GLYPH,NO,NO,NO,NO,NO,NO
嫁,U+5AC1,1,CN_ALREADY_COVERED,NO,NO,NO,YES,YES,YES
嫉,U+5AC9,3,CN_ALREADY_COVERED,NO,NO,NO,YES,YES,YES
嫌,U+5ACC,2,CN_ALREADY_COVERED,YES,NO,NO,YES,YES,NO
嬉,U+5B09,3,CN_ALREADY_COVERED,NO,NO,NO,YES,YES,YES
子,U+5B50,902,CN_ALREADY_COVERED,YES,NO,YES,YES,YES,YES
孔,U+5B54,3,CN_ALREADY_COVERED,NO,NO,NO,YES,YES,YES
孕,U+5B55,5,CN_ALREADY_COVERED,NO,NO,NO,NO,YES,YES
字,U+5B57,242,CN_ALREADY_COVERED,YES,NO,NO,YES,YES,YES
存,U+5B58,925,CN_ALREADY_COVERED,YES,NO,YES,YES,YES,YES
孙,U+5B59,2,TRUE_NEW_GLYPH,NO,NO,NO,NO,NO,NO
孢,U+5B62,1,CN_ALREADY_COVERED,NO,NO,NO,NO,YES,YES
季,U+5B63,14,CN_ALREADY_COVERED,NO,NO,NO,NO,YES,YES
孤,U+5B64,35,CN_ALREADY_COVERED,NO,NO,NO,YES,YES,YES
学,U+5B66,253,CN_ALREADY_COVERED,NO,NO,NO,YES,YES,YES
孩,U+5B69,104,CN_ALREADY_COVERED,NO,NO,NO,NO,YES,YES
孱,U+5B71,2,CN_ALREADY_COVERED,NO,NO,NO,NO,YES,YES
孽,U+5B7D,3,CN_ALREADY_COVERED,NO,NO,NO,NO,YES,YES
宁,U+5B81,2,CN_ALREADY_COVERED,NO,NO,NO,NO,YES,YES
它,U+5B83,860,CN_ALREADY_COVERED,NO,NO,NO,NO,YES,YES
宅,U+5B85,1,CN_ALREADY_COVERED,NO,NO,NO,NO,YES,YES
宇,U+5B87,39,CN_ALREADY_COVERED,NO,NO,NO,YES,YES,YES
守,U+5B88,489,CN_ALREADY_COVERED,NO,NO,YES,YES,YES,YES
安,U+5B89,612,CN_ALREADY_COVERED,YES,NO,NO,YES,YES,YES
完,U+5B8C,1584,CN_ALREADY_COVERED,YES,YES,YES,YES,YES,YES
宗,U+5B97,2,CN_ALREADY_COVERED,NO,NO,NO,YES,YES,YES
官,U+5B98,196,CN_ALREADY_COVERED,NO,NO,NO,YES,YES,YES
宙,U+5B99,29,CN_ALREADY_COVERED,NO,NO,NO,YES,YES,YES
定,U+5B9A,1690,CN_ALREADY_COVERED,YES,NO,NO,YES,YES,YES
宜,U+5B9C,7,CN_ALREADY_COVERED,NO,NO,NO,YES,YES,YES
宝,U+5B9D,41,CN_ALREADY_COVERED,NO,NO,NO,YES,YES,YES
实,U+5B9E,948,CN_ALREADY_COVERED,NO,NO,NO,NO,YES,YES
宠,U+5BA0,1,CN_ALREADY_COVERED,NO,NO,NO,NO,YES,YES
审,U+5BA1,43,CN_ALREADY_COVERED,NO,NO,NO,NO,YES,YES
客,U+5BA2,40,CN_ALREADY_COVERED,NO,NO,NO,YES,YES,YES
宣,U+5BA3,17,CN_ALREADY_COVERED,NO,NO,NO,YES,YES,YES
室,U+5BA4,431,CN_ALREADY_COVERED,NO,NO,NO,YES,YES,YES
宪,U+5BAA,35,CN_ALREADY_COVERED,NO,NO,NO,NO,YES,YES
宫,U+5BAB,2,CN_ALREADY_COVERED,NO,NO,NO,NO,YES,YES
宰,U+5BB0,1,TRUE_NEW_GLYPH,NO,NO,NO,NO,NO,NO
害,U+5BB3,493,CN_ALREADY_COVERED,YES,NO,NO,YES,YES,YES
宴,U+5BB4,2,TRUE_NEW_GLYPH,NO,NO,NO,NO,NO,NO
家,U+5BB6,1269,CN_ALREADY_COVERED,NO,NO,YES,YES,YES,YES
容,U+5BB9,753,CN_ALREADY_COVERED,YES,NO,YES,YES,YES,YES
宽,U+5BBD,6,CN_ALREADY_COVERED,NO,NO,NO,NO,YES,YES
宾,U+5BBE,66,CN_ALREADY_COVERED,NO,NO,NO,NO,YES,YES
宿,U+5BBF,51,CN_ALREADY_COVERED,NO,NO,YES,YES,YES,YES
寂,U+5BC2,9,CN_ALREADY_COVERED,NO,NO,NO,YES,YES,YES
寄,U+5BC4,37,CN_ALREADY_COVERED,NO,NO,YES,YES,YES,YES
密,U+5BC6,1292,CN_ALREADY_COVERED,YES,NO,NO,YES,YES,YES
富,U+5BCC,750,CN_ALREADY_COVERED,YES,NO,NO,YES,YES,YES
寒,U+5BD2,2,CN_ALREADY_COVERED,NO,NO,NO,YES,YES,YES
寞,U+5BDE,4,TRUE_NEW_GLYPH,NO,NO,NO,NO,NO,NO
察,U+5BDF,201,CN_ALREADY_COVERED,NO,NO,YES,YES,YES,YES
寸,U+5BF8,35,CN_ALREADY_COVERED,NO,NO,NO,NO,YES,YES
对,U+5BF9,2526,CN_ALREADY_COVERED,NO,NO,NO,NO,YES,YES
寺,U+5BFA,1,CN_ALREADY_COVERED,NO,NO,NO,YES,YES,YES
寻,U+5BFB,73,CN_ALREADY_COVERED,NO,NO,NO,NO,YES,YES
导,U+5BFC,1225,CN_ALREADY_COVERED,NO,NO,NO,NO,YES,YES
封,U+5C01,53,CN_ALREADY_COVERED,NO,NO,NO,YES,YES,YES
射,U+5C04,2675,CN_ALREADY_COVERED,YES,NO,NO,YES,YES,YES
将,U+5C06,872,CN_ALREADY_COVERED,NO,NO,NO,YES,YES,YES
尊,U+5C0A,12,CN_ALREADY_COVERED,NO,NO,NO,YES,YES,YES
小,U+5C0F,701,CN_ALREADY_COVERED,YES,NO,NO,YES,YES,YES
少,U+5C11,553,CN_ALREADY_COVERED,NO,NO,NO,YES,YES,YES
尔,U+5C14,918,CN_ALREADY_COVERED,NO,NO,NO,NO,YES,YES
尖,U+5C16,4,CN_ALREADY_COVERED,NO,NO,NO,NO,YES,YES
尚,U+5C1A,79,CN_ALREADY_COVERED,NO,NO,NO,YES,YES,YES
尝,U+5C1D,26,CN_ALREADY_COVERED,NO,NO,NO,NO,YES,YES
尤,U+5C24,23,CN_ALREADY_COVERED,NO,NO,NO,NO,YES,YES
就,U+5C31,3468,CN_ALREADY_COVERED,NO,NO,NO,YES,YES,YES
尸,U+5C38,22,CN_ALREADY_COVERED,NO,NO,NO,NO,YES,YES
尺,U+5C3A,45,CN_ALREADY_COVERED,NO,NO,NO,NO,YES,YES
尼,U+5C3C,512,CN_ALREADY_COVERED,NO,NO,NO,NO,YES,YES
尽,U+5C3D,160,CN_ALREADY_COVERED,NO,NO,NO,YES,YES,YES
尾,U+5C3E,96,CN_ALREADY_COVERED,NO,NO,NO,YES,YES,YES
尿,U+5C3F,40,CN_ALREADY_COVERED,NO,NO,NO,YES,YES,YES
局,U+5C40,95,CN_ALREADY_COVERED,NO,NO,NO,YES,YES,YES
屁,U+5C41,43,CN_ALREADY_COVERED,NO,NO,NO,NO,YES,YES
层,U+5C42,153,CN_ALREADY_COVERED,NO,NO,NO,NO,YES,YES
居,U+5C45,81,CN_ALREADY_COVERED,NO,NO,NO,YES,YES,YES
屈,U+5C48,17,CN_ALREADY_COVERED,NO,NO,NO,YES,YES,YES
屉,U+5C49,1,CN_ALREADY_COVERED,NO,NO,NO,NO,YES,YES
届,U+5C4A,14,CN_ALREADY_COVERED,NO,NO,NO,YES,YES,YES
屋,U+5C4B,72,CN_ALREADY_COVERED,YES,NO,NO,YES,YES,YES
屏,U+5C4F,18,CN_ALREADY_COVERED,NO,NO,NO,NO,YES,YES
展,U+5C55,123,CN_ALREADY_COVERED,NO,NO,NO,YES,YES,YES
属,U+5C5E,273,CN_ALREADY_COVERED,NO,NO,NO,YES,YES,YES
履,U+5C65,35,CN_ALREADY_COVERED,NO,NO,NO,YES,YES,YES
山,U+5C71,365,CN_ALREADY_COVERED,YES,NO,NO,YES,YES,YES
屹,U+5C79,1,TRUE_NEW_GLYPH,NO,NO,NO,NO,NO,NO
岁,U+5C81,77,CN_ALREADY_COVERED,NO,NO,NO,NO,YES,YES
岂,U+5C82,1,TRUE_NEW_GLYPH,NO,NO,NO,NO,NO,NO
岔,U+5C94,13,CN_ALREADY_COVERED,NO,NO,NO,NO,YES,YES
岗,U+5C97,8,CN_ALREADY_COVERED,NO,NO,NO,NO,YES,YES
岘,U+5C98,2,CN_ALREADY_COVERED,NO,NO,NO,NO,YES,YES
岛,U+5C9B,143,CN_ALREADY_COVERED,NO,NO,NO,NO,YES,YES
岩,U+5CA9,34,CN_ALREADY_COVERED,NO,NO,NO,YES,YES,YES
岭,U+5CAD,1,CN_ALREADY_COVERED,NO,NO,NO,NO,YES,YES
岸,U+5CB8,372,CN_ALREADY_COVERED,YES,NO,NO,YES,YES,YES
峙,U+5CD9,1,JPN_RECOVERABLE,NO,NO,NO,YES,NO,NO
峡,U+5CE1,19,CN_ALREADY_COVERED,NO,NO,NO,YES,YES,YES
峭,U+5CED,1,CN_ALREADY_COVERED,NO,NO,NO,NO,YES,YES
峰,U+5CF0,31,CN_ALREADY_COVERED,NO,NO,NO,YES,YES,YES
峻,U+5CFB,3,TRUE_NEW_GLYPH,NO,NO,NO,NO,NO,NO
崇,U+5D07,2,CN_ALREADY_COVERED,NO,NO,NO,YES,YES,YES
崎,U+5D0E,6,CN_ALREADY_COVERED,NO,NO,NO,YES,YES,YES
崖,U+5D16,16,CN_ALREADY_COVERED,NO,NO,NO,YES,YES,YES
崩,U+5D29,3,CN_ALREADY_COVERED,NO,NO,NO,YES,YES,YES
嵌,U+5D4C,5,TRUE_NEW_GLYPH,NO,NO,NO,NO,NO,NO
川,U+5DDD,15,CN_ALREADY_COVERED,NO,NO,NO,YES,YES,YES
州,U+5DDE,64,CN_ALREADY_COVERED,NO,NO,NO,YES,YES,YES
巡,U+5DE1,422,CN_ALREADY_COVERED,NO,NO,NO,YES,YES,YES
巢,U+5DE2,7,CN_ALREADY_COVERED,NO,NO,NO,NO,YES,YES
工,U+5DE5,375,CN_ALREADY_COVERED,YES,NO,NO,YES,YES,YES
左,U+5DE6,229,CN_ALREADY_COVERED,YES,NO,YES,YES,YES,YES
巧,U+5DE7,45,CN_ALREADY_COVERED,NO,NO,NO,YES,YES,YES
巨,U+5DE8,122,CN_ALREADY_COVERED,YES,NO,NO,YES,YES,YES
差,U+5DEE,204,CN_ALREADY_COVERED,NO,YES,NO,YES,YES,YES
己,U+5DF1,482,CN_ALREADY_COVERED,NO,NO,NO,YES,YES,YES
已,U+5DF2,1870,CN_ALREADY_COVERED,NO,NO,NO,NO,YES,YES
巴,U+5DF4,233,CN_ALREADY_COVERED,NO,NO,NO,NO,YES,YES
巷,U+5DF7,6,CN_ALREADY_COVERED,NO,NO,NO,NO,YES,YES
巾,U+5DFE,34,CN_ALREADY_COVERED,NO,NO,NO,YES,YES,YES
币,U+5E01,1,CN_ALREADY_COVERED,NO,NO,NO,NO,YES,YES
市,U+5E02,21,CN_ALREADY_COVERED,NO,NO,NO,YES,YES,YES
布,U+5E03,169,CN_ALREADY_COVERED,NO,NO,NO,YES,YES,YES
帅,U+5E05,15,CN_ALREADY_COVERED,NO,NO,NO,NO,YES,YES
师,U+5E08,292,CN_ALREADY_COVERED,NO,NO,NO,NO,YES,YES
希,U+5E0C,86,CN_ALREADY_COVERED,NO,NO,NO,YES,YES,YES
帕,U+5E15,4,CN_ALREADY_COVERED,NO,NO,NO,NO,YES,YES
帘,U+5E18,8,CN_ALREADY_COVERED,NO,NO,NO,NO,YES,YES
帝,U+5E1D,10,CN_ALREADY_COVERED,NO,NO,NO,YES,YES,YES
带,U+5E26,941,CN_ALREADY_COVERED,NO,NO,NO,NO,YES,YES
席,U+5E2D,5,CN_ALREADY_COVERED,NO,NO,NO,YES,YES,YES
帮,U+5E2E,254,CN_ALREADY_COVERED,NO,NO,NO,NO,YES,YES
常,U+5E38,525,CN_ALREADY_COVERED,NO,NO,NO,YES,YES,YES
帽,U+5E3D,7,CN_ALREADY_COVERED,NO,NO,NO,NO,YES,YES
幅,U+5E45,81,CN_ALREADY_COVERED,NO,NO,NO,YES,YES,YES
幌,U+5E4C,1,CN_ALREADY_COVERED,NO,NO,NO,NO,YES,YES
幕,U+5E55,60,CN_ALREADY_COVERED,NO,NO,NO,YES,YES,YES
干,U+5E72,769,CN_ALREADY_COVERED,NO,NO,NO,YES,YES,YES
平,U+5E73,1075,CN_ALREADY_COVERED,NO,NO,YES,YES,YES,YES
年,U+5E74,726,CN_ALREADY_COVERED,YES,NO,YES,YES,YES,YES
并,U+5E76,820,CN_ALREADY_COVERED,NO,NO,NO,NO,YES,YES
幸,U+5E78,50,CN_ALREADY_COVERED,NO,NO,NO,YES,YES,YES
幻,U+5E7B,17,CN_ALREADY_COVERED,NO,NO,NO,YES,YES,YES
幼,U+5E7C,5,CN_ALREADY_COVERED,NO,NO,NO,YES,YES,YES
幽,U+5E7D,124,CN_ALREADY_COVERED,NO,NO,NO,YES,YES,YES
广,U+5E7F,91,CN_ALREADY_COVERED,NO,NO,NO,NO,YES,YES
庆,U+5E86,10,CN_ALREADY_COVERED,NO,NO,NO,NO,YES,YES
庇,U+5E87,1,CN_ALREADY_COVERED,NO,NO,NO,YES,YES,YES
床,U+5E8A,6,CN_ALREADY_COVERED,NO,NO,NO,YES,YES,YES
序,U+5E8F,212,CN_ALREADY_COVERED,YES,NO,NO,YES,YES,YES
库,U+5E93,203,CN_ALREADY_COVERED,NO,NO,NO,NO,YES,YES
应,U+5E94,726,CN_ALREADY_COVERED,NO,NO,NO,NO,YES,YES
底,U+5E95,227,CN_ALREADY_COVERED,YES,NO,NO,YES,YES,YES
店,U+5E97,9,CN_ALREADY_COVERED,NO,NO,NO,YES,YES,YES
府,U+5E9C,70,CN_ALREADY_COVERED,NO,NO,YES,YES,YES,YES
庞,U+5E9E,12,CN_ALREADY_COVERED,NO,NO,NO,NO,YES,YES
废,U+5E9F,44,CN_ALREADY_COVERED,NO,NO,NO,NO,YES,YES
度,U+5EA6,1547,CN_ALREADY_COVERED,YES,NO,YES,YES,YES,YES
座,U+5EA7,183,CN_ALREADY_COVERED,NO,NO,NO,YES,YES,YES
庭,U+5EAD,1,CN_ALREADY_COVERED,NO,NO,NO,YES,YES,YES
康,U+5EB7,14,CN_ALREADY_COVERED,NO,NO,NO,YES,YES,YES
庸,U+5EB8,41,CN_ALREADY_COVERED,NO,NO,NO,NO,YES,YES
廉,U+5EC9,3,CN_ALREADY_COVERED,NO,NO,NO,NO,YES,YES
延,U+5EF6,147,CN_ALREADY_COVERED,YES,YES,YES,YES,YES,YES
廷,U+5EF7,3,CN_ALREADY_COVERED,NO,NO,NO,NO,YES,YES
建,U+5EFA,322,CN_ALREADY_COVERED,NO,NO,NO,YES,YES,YES
开,U+5F00,3646,CN_ALREADY_COVERED,NO,NO,NO,NO,YES,YES
异,U+5F02,333,CN_ALREADY_COVERED,NO,NO,NO,NO,YES,YES
弃,U+5F03,125,CN_ALREADY_COVERED,NO,NO,NO,NO,YES,YES
弄,U+5F04,40,CN_ALREADY_COVERED,NO,NO,YES,YES,YES,YES
弈,U+5F08,3,CN_ALREADY_COVERED,NO,NO,NO,NO,YES,YES
弊,U+5F0A,3,CN_ALREADY_COVERED,NO,NO,NO,YES,YES,YES
式,U+5F0F,1162,CN_ALREADY_COVERED,YES,NO,NO,YES,YES,YES
弓,U+5F13,38,CN_ALREADY_COVERED,NO,NO,NO,YES,YES,YES
